,question.stem,keywords,answer
1187,"Sally didn't know what she planned to do.  She was going to remodel her front garden, but she couldn't because of zoning rules.  Such was the perils of living where?","['zoning', 'perils', 'garden', 'remodel', 'sally']",urban area
1188,"Billy thought that there wasn't any point to hunting foxes. Besides, it was too dry to find many.  Where might he have been?","['billy', 'foxes', 'hunting', 'dry', 'wasn']",arkansas
1189,"His favorite general store had most things, and if it didn't it was conveniently located with other shops in the what?","['shops', 'store', 'things', 'general', 'located']",shopping mall
1190,Where would the reception desk be located in a hotel?,"['hotel', 'desk', 'located', 'reception']",lobby
1191,Sarah was not a little girl anymore.  She learned the hard way when buying new clothes.  What size might she have worn?,"['clothes', 'size', 'sarah', 'girl', 'little']",large
1192,"The plant suffered in the shade, where did it need to be planted instead?","['planted', 'plant', 'shade', 'suffered', 'instead']",direct sunlight
1193,Where would using a boat require navigation skills?,"['boat', 'navigation', 'skills', 'using', 'require']",ocean
1194,"The man needed a toothbrush and some food, where did he go?","['toothbrush', 'food', 'man', 'needed', 'did']",grocery store
1195,Janet likes dancing.   The swaying and the music gives her a feeling of what?,"['swaying', 'dancing', 'janet', 'music', 'feeling']",euphoria
1196,What is the purpose of a box in a supermarket?,"['supermarket', 'box', 'purpose']",store food
1197,What kind of structure are in if there is a large chandelier in the foyer?,"['chandelier', 'foyer', 'structure', 'large', 'kind']",mansion
1198,"James wanted a hot tub just like the one at the spa he visited, but he didn't want anyone to know about it.  He was afraid that if the neighbors knew, they'd all want to use it, and it would turn his house into what?","['tub', 'house', 'neighbors', 'james', 'spa']",country club
1199,They pulled off to the shoulder of the winding mountain what?,"['mountain', 'winding', 'pulled', 'shoulder']",road
1200,Where in your shirt can you keep your plane ticket?,"['plane', 'ticket', 'shirt']",pocket
1201,Where do people look at pictures with a story?,"['pictures', 'story', 'look', 'people']",books
1202,James put a blanket on the floor to cover the burn marks.  Where might he have gotten the blanket from?,"['blanket', 'james', 'cover', 'floor', 'burn']",bed
1203,Sarah thought that buying beer with a fake idea was a good idea.  She just wanted to enjoy herself. But it turned to be anything but. What did it turn out to be?,"['beer', 'sarah', 'fake', 'idea', 'turned']",stupidity
1204,In a company a chief oversees what people?,"['chief', 'oversees', 'company', 'people']",employee
1205,"She was giggling and flirting, his mustache elicited what for her?","['flirting', 'mustache', 'giggling', 'elicited']",sexual attraction
1206,"If I want to do a math problem in a proper way, what should I check for?","['math', 'check', 'problem', 'proper', 'want']",incorrect
1207,How does a meteor travel around galactic objects?,"['meteor', 'galactic', 'travel', 'objects', 'does']",orbit
1208,"The story was interesting, the character grew to become a baby boy after starting out a what?","['story', 'character', 'boy', 'grew', 'baby']",old man
1209,Bob was tossed from his boat in the pacific ocean near the United States.  He sees a shore to the east and swims toward it. Where is he most likely swimming to?,"['ocean', 'pacific', 'bob', 'shore', 'east']",california
1210,"It was something that had weighed on him his whole life, finally discovering truth was a what?","['discovering', 'truth', 'life', 'weighed', 'finally']",relief
1211,Where is an apple tree likely found in abundance?,"['tree', 'apple', 'abundance', 'likely']",farmland
1212,Inside what would a listener most likely hear a new student trying a clarinet?,"['clarinet', 'listener', 'student', 'inside', 'hear']",music store
1213,The projector displayed slides on the wall as the presenter talked to the audience.  Billy wished he didn't come to this event.  Where was he?,"['presenter', 'billy', 'projector', 'slides', 'audience']",conference
1214,The person changed because what demanded it?,"['changed', 'person', 'demanded']",tradition
1215,A wind from the east is often referred to as a what kind of wind?,"['wind', 'east', 'kind', 'referred']",westerly
1216,The helm is the steering control of what powered leisure vessel?,"['steering', 'helm', 'vessel', 'control', 'leisure']",motorboat
1217,What do you need to have before you can begin reading?,"['reading', 'begin', 'need']",written material
1218,What should you reply to if you get it while at work?,"['reply', 'work']",email
1219,After the sun has risen what happens at the end of the day?,"['sun', 'day', 'risen', 'end', 'happens']",sun set
1220,What would a bee like as a gift?,"['bee', 'gift', 'like']",bouquet of flowers
1221,What does a person who is considered good known for?,"['known', 'person', 'good', 'considered', 'does']",contribution to society
1222,A retired person may have to return to work if they what?,"['work', 'retired', 'return', 'person']",need money
1223,Where would you find the nearest attic?,"['attic', 'nearest']",own home
1224,"The great general had suffered his first defeat, it now seemed there was truly nobody his opponent couldn't what?","['defeat', 'general', 'opponent', 'couldn', 'suffered']",conquer
1225,Where could you find a monkey in the wild?,"['monkey', 'wild']",
1226,Where would the steakhouse include a view of a Great Lake?,"['lake', 'steakhouse', 'view', 'include', 'great']",michigan
1227,"John bought a small butane stove.  He knew that he couldn't use it inside because of the fumes, but he could use it outside.  What structure would John most likely use the stove outside of?","['stove', 'outside', 'inside', 'butane', 'fumes']",
1228,"She got home and needed to put away her shirts, where did she put them?","['shirts', 'home', 'away', 'needed', 'did']",closet
1229,Sarah felt bad about their odds. Billy disagreed with her.  What did he think about their odds?,"['odds', 'billy', 'sarah', 'think', 'felt']",propitious
1230,"It was the first time they had met their new niece, it was good to have everybody together at the annual what?","['niece', 'new', 'annual', 'met', 'good']",
1231,Why would someone be listening?,['listening'],hear things
1232,"The dental office handled a lot of patients who experienced traumatic mouth injury, where were these patients coming from?","['dental', 'patients', 'traumatic', 'mouth', 'injury']",hospital
1233,The upright piano helped what get a better sound?,"['piano', 'sound', 'upright', 'better', 'helped']",band
1234,"A shark isn't something you have to worry about at the lake in the woods, but there are plenty of dangers in the what?","['shark', 'dangers', 'lake', 'woods', 'worry']",great outdoors
1235,Where would you find pamphlets when they're delivered to your home?,"['pamphlets', 'home', 'delivered']",mail box
1236,You can find a clothing store often at what outdoor collection of merchants?,"['clothing', 'store', 'merchants', 'outdoor', 'collection']",strip mall
1237,Where are you likely to find a cubicle for many corporations?,"['cubicle', 'corporations', 'likely']",office building
1238,Where did people used to go so they could watch a movie in their home?,"['movie', 'home', 'watch', 'people', 'used']",video store
1239,If a train is behind schedule what is it likely to do?,"['train', 'schedule', 'likely']",arrive late
1240,"A person fear failure, what does he thing will happen?","['failure', 'fear', 'person', 'happen', 'thing']",amount to nothing
1241,"The man became more efficient at his work, he learned shortcuts to copy and what?","['copy', 'learned', 'shortcuts', 'efficient', 'work']",paste
1242,What does one do at an office?,"['office', 'does']",work
1243,"Much like a jaunt on the treadmill, thinking hard and long can cause what?","['thinking', 'treadmill', 'jaunt', 'long', 'hard']",fatigue
1244,Birds do what by laying eggs?,"['eggs', 'birds', 'laying']",reproduce
1245,What would I do if I was being attacked?,['attacked'],defend yourself
1246,Where can you spend the night on the ground floor when you're away from home?,"['floor', 'home', 'ground', 'night', 'away']",hotel
1247,"The person was bad, but everything he said was what?","['person', 'bad', 'said']",true
1248,Where is it likely to find a beach towel?,"['towel', 'beach', 'likely']",swimming pool
1249,"They began to copulate, someone used spit to what?","['copulate', 'spit', 'began', 'used']",lubricate
1250,What will happen after answering questions incorrectly?,"['incorrectly', 'answering', 'questions', 'happen']",embarassment
1251,Where would you find many computers in a group of work spaces?,"['computers', 'spaces', 'group', 'work']",office building
1252,How do birds have babies?,"['birds', 'babies']",lay eggs
1253,Where would you put a rubber stamp after using it?,"['stamp', 'rubber', 'using']",desk
1254,"The potato wants to grow, where should it be placed?","['potato', 'placed', 'grow', 'wants']",underground
1255,Their union had settled and they would go off strike and what?,"['union', 'strike', 'settled']",get back to work
1256,What is needed mentally to ready one's self to begin detailed work?,"['work', 'mentally', 'begin', 'ready', 'detailed']",concentrate
1257,Where do kids go that does not involve water or buying something?,"['kids', 'water', 'involve', 'buying', 'does']",disneyland
1258,"John bought a ferret at a pet shop.  He couldn't take it on the bus, so he called something else.  What might he have called?","['ferret', 'pet', 'john', 'bus', 'called']",
1259,What do you need to do with a friend before going to play?,"['play', 'friend', 'need', 'going']",meet
1260,If you're going on vacation on a deserted island what are you hoping to achieve?,"['island', 'deserted', 'vacation', 'achieve', 'going']",peace
1261,"I needed to send a piece of mail, where did I go?","['mail', 'send', 'needed', 'did', 'piece']",
1262,What is a way that people who are dating great each other?,"['dating', 'great', 'people', 'way']",kiss each other
1263,What country would you not find a marmoset in the continent south of North America?,"['continent', 'marmoset', 'south', 'north', 'america']",venezuela
1264,The teacher has activity planned the students probably won't enjoy--- what was it?,"['teacher', 'students', 'activity', 'planned', 'won']",time test
1265,"If you were to take Communion on a Sunday morning, what you expect the glass on the walls to be?","['glass', 'communion', 'walls', 'morning', 'sunday']",many different colors
1266,"Sally went to her office, which was on the 8th and top floor.  Where does she probably work?","['sally', 'office', 'floor', '8th', 'work']",tall building
1267,What does a couple do at the end of the sleighing ride?,"['sleighing', 'ride', 'couple', 'end', 'does']",kissing
1268,What does breathing do for living things?,"['breathing', 'living', 'things', 'does']",sustaining life
1269,What is the opposite of something being liken to something else?,"['liken', 'opposite']",contrast
1270,Where could you hear an organ being played?,"['organ', 'hear', 'played']",cathedral
1271,If a person is supported by those closest to them what do they have?,"['supported', 'person', 'closest']",nice family
1272,Food is usually stored on what in your pantry?,"['pantry', 'food', 'stored', 'usually']",shelf
1273,When can a person's death not be wanted by the person?,"['death', 'person', 'wanted']",murder
1274,"The child wanted his cereal bowl and knew he could reach it, where would he find it?","['cereal', 'bowl', 'child', 'reach', 'knew']",kitchen cabinet
1275,"James used an axe and a saw to chop wood, shape it, and make a shelter.  He kept adding wood to it, building it bigger and bigger, until it became a what?","['wood', 'building', 'james', 'shelter', 'axe']",house
1276,What do you use when chatting with friends that aren't in the same place together?,"['chatting', 'friends', 'place', 'use', 'aren']",phone
1277,One thing that you need to do when opening a business is to secure lots of?,"['business', 'secure', 'need', 'opening', 'lots']",funding
1278,What are armies having to do when the countries are waging war?,"['armies', 'war', 'waging', 'countries', 'having']",killing people
1279,What is a good thing about playing football?,"['football', 'playing', 'thing', 'good']",having fun
1280,"In America, what is the nortern-most country where an apple tree can grow?","['america', 'apple', 'tree', 'country', 'grow']",canada
1281,Being able to forgive is a way to be what?,"['forgive', 'able', 'way']",nice to
1282,Sam  spent time chatting with friends about important things because he wanted to get what?,"['sam', 'chatting', 'friends', 'important', 'things']",answers
1283,What part of us is virginia in?,['virginia'],south
1284,Where do kids gather in the entrance hall at the request of teachers?,"['teachers', 'entrance', 'hall', 'gather', 'kids']",school
1285,If someone is committing perjury and it leads to convictions what has been committed?,"['perjury', 'convictions', 'committing', 'committed', 'leads']",injustices
1286,What happens when you cash in?,"['cash', 'happens']",get money
1287,"If you are playing poker, what are you doing?","['poker', 'playing', 'doing']",game playing
1288,"They saw a fox at the park, they tried to get their phones out quickly to get a what?","['fox', 'phones', 'park', 'saw', 'quickly']",picture
1289,"The poet wanted to promote his new literature to literary majors, where did he go to do so?","['poet', 'literature', 'literary', 'promote', 'majors']",university
1290,"He was hiking for miles, what did he suffer from?","['hiking', 'suffer', 'miles', 'did']",cramps
1291,Where is refuse stored for a long time?,"['stored', 'refuse', 'time', 'long']",dump
1292,The woman spent her evenings working hard for herself. What did she do with her tasks?,"['tasks', 'woman', 'working', 'evenings', 'spent']",accomplish goals
1293,If someone were to gain a lot of fat their doctor will likely tell them to do what?,"['fat', 'doctor', 'gain', 'tell', 'lot']",lose weight
1294,Where would you write down a passage?,"['passage', 'write']",diary
1295,Where can you find many musician with people listening to them?,"['musician', 'listening', 'people']",orchestra
1296,Billy found himself agreeing with Dan. They knew each other since childhood.  They didn't need what to make an agreement?,"['billy', 'dan', 'agreement', 'knew', 'agreeing']",contract
1297,"Danny was a human.  He needed to catch a flight, but stayed to long in an object made for humans to relax in.  Where might he have been?","['danny', 'flight', 'stayed', 'human', 'object']",bed
1298,What do we do if we rise something and want to put it back down?,"['rise', 'want']",lower
1299,"The fight enemy choice had led him to a grave injury, he was now what?","['enemy', 'grave', 'injury', 'fight', 'choice']",dying
1300,"The teacher's pet loved answering questions, each correct answer brought her more what than the last?","['pet', 'teacher', 'answering', 'answer', 'questions']",satisfaction
1301,"The person was sick of the cold rain, what did he long for?","['rain', 'cold', 'person', 'long', 'sick']",sunny days
1302,"His hotel had a view of a famous mountain, he sampled chocolates, and did more during his visit where?","['hotel', 'visit', 'mountain', 'famous', 'chocolates']",switzerland
1303,"Where could you find a long, dark passageway?","['passageway', 'dark', 'long']",cave
1304,Where are magazines usually old?,"['magazines', 'old', 'usually']",doctor
1305,George hated changes to his salary. He wanted his supply  of money to be what?,"['george', 'money', 'supply', 'changes', 'salary']",constant
1306,Where do you send mail over a counter?,"['mail', 'send', 'counter']",post office
1307,James bought a new monitor and unpacked it.   He discarded the packaging materials and connected it.  What did he connect it to?,"['monitor', 'connected', 'connect', 'packaging', 'james']",desktop
1308,People use a knife to clean their catch on what vessel?,"['knife', 'vessel', 'clean', 'catch', 'people']",fishing boat
1309,"The pioneer went to the general store for baking supplies, what was he looking for?","['baking', 'supplies', 'pioneer', 'store', 'general']",baking soda
1310,He wore out his dictionary as he worked on his what?,"['dictionary', 'wore', 'worked']",
1311,What happens to a person falling?,"['falling', 'happens', 'person']",going down
1312,"Sean wanted to go to the Met, so he took a subway stop in what city?","['met', 'subway', 'city', 'sean', 'took']",new york city
1313,What do adults do at a cookout with friends?,"['cookout', 'adults', 'friends']",drink beer
1314,"George was away from home for the first time.  He didn't have any place to go, so I offered to let him do what?","['george', 'home', 'away', 'let', 'place']",stay here
1315,If you're suffering from boredom what can you do on your mobile phone?,"['phone', 'boredom', 'mobile', 'suffering']",surf net
1316,"If disneyland were to be built in California, why would planners choose that state?","['disneyland', 'california', 'state', 'planners', 'choose']",disneyland
1317,"If a person is shy, what do they feel when meeting people for the first time?","['shy', 'meeting', 'feel', 'people', 'person']",stress
1318,What might be a reaction if I were to start communicating to others?,"['communicating', 'reaction', 'start']",people to think
1319,What happens to the temperature if you turn up the thermostat?,"['thermostat', 'temperature', 'turn', 'happens']",increase
1320,Jane's baking oven was broken and she was afraid to use it.  She didn't want to burn what?,"['oven', 'baking', 'jane', 'burn', 'afraid']",house
1321,"Some kids are shy in school, so taking a shower where can be intimidating?","['shower', 'school', 'shy', 'intimidating', 'kids']",locker room
1322,John would do anything because he didn't care.  He would do what?,"['john', 'care', 'didn']",whatever
1323,Where would you get an action figure if you do not have one?,"['figure', 'action']",
1324,"He was studying anatomy, he knew that the main artery in his neck provided blood to his what?","['anatomy', 'artery', 'neck', 'blood', 'studying']",own brain
1325,Where can fungus grow on walls?,"['fungus', 'walls', 'grow']",basement
1326,"John couldn't arise from his position, so he remained at his desk. What might his position be?","['john', 'position', 'desk', 'remained', 'arise']",sitting down
1327,What might have a drop of flood on their fingertip?,"['fingertip', 'flood', 'drop']",person
1328,The heir to this country's throne isn't the prince of it. What country is it?,"['heir', 'throne', 'country', 'prince', 'isn']",england
1329,Where might a child go who has no home?,"['home', 'child']",orphanage
1330,Crabs crawl along the bottom of what?,"['crabs', 'crawl']",bodies of water
1331,Why does this person eat so much?,"['eat', 'person', 'does']",gain weight
1332,Someone who gets nervous and doesn't know how to dance might do what when they attempt to start dancing?,"['dance', 'dancing', 'nervous', 'start', 'attempt']",stand still
1333,Almost everyone who has been driving a car has seen or been in a what?,"['driving', 'car', 'seen']",automobile accidents
1334,"His want for more was insatiable, a what wasn't enough?","['insatiable', 'want', 'wasn']",plentitude
1335,Where can you buy grapes directly from their growers?,"['grapes', 'growers', 'directly', 'buy']",fruit market
1336,Where would a woman keep a dollar bill?,"['dollar', 'woman']",purse
1337,"James spent a lot of time walking long distances.   He walked not because he liked it, it made his feet sore, nut because it was his only means of what?","['walking', 'walked', 'james', 'feet', 'nut']",locomotion
1338,"He never took for granted living in the land of the free, for he was once a what abroad?","['abroad', 'free', 'land', 'living', 'granted']",prisoner
1339,Most people have what which they use to carry things?,"['carry', 'things', 'people', 'use']",two hands
1340,Nations agreeing with each other will lead to what?,"['nations', 'lead', 'agreeing']",peace
1341,"If I want to keep my floor covering down, what should I put the tack in?","['tack', 'covering', 'floor', 'want']",carpet
1342,Lips are found on a person's what?,"['lips', 'person']",faces
1343,"Sam thought that his efforts were necessary, but in reality the accomplished nothing.  They were what?","['sam', 'efforts', 'necessary', 'thought', 'reality']",useless
1344,What is a place that sells suntan lotion but not food or medicine?,"['suntan', 'lotion', 'medicine', 'food', 'place']",shop
1345,"I was driving a car and had a heart attack at 80 mph, what awaits me?","['heart', 'driving', 'mph', 'car', '80']",death
1346,People are genetically most likely to have this on top of their head?,"['genetically', 'head', 'people', 'likely']",brown hair
1347,Where would you put condiments if you are planning to use them soon?,"['condiments', 'planning', 'use', 'soon']",table
1348,Where will someone go for killing?,['killing'],going to jail
1349,Sally bought bubblegum. Where might she have gotten it?,"['bubblegum', 'sally', 'gotten', 'bought']",supermarket
1350,what does getting divorce induce in someone who doesn't want it?,"['divorce', 'want', 'getting', 'induce', 'doesn']",depression
1351,Where would you find a trash can while enjoying the great outdoors?,"['outdoors', 'trash', 'enjoying', 'great']",park
1352,"He didn't have the attention span for reading book, so he would just what and pretend he was reading?","['reading', 'book', 'pretend', 'attention', 'didn']",sit
1353,James owned a historic deli.  It had some protections that helped him keep it open.  It was an important landmark where?,"['james', 'deli', 'landmark', 'historic', 'important']",new york city
1354,"If something is very hard but you just manage to be able to do it, it can be called what?","['hard', 'able', 'just', 'manage', 'called']",bearable
1355,Where is the sky fake?,"['sky', 'fake']",planetarium
1356,"Before the game some players knelt to pray, they did this because they what?","['knelt', 'players', 'pray', 'game', 'did']",
1357,What is the name of a place where cargo is stored?,"['cargo', 'stored', 'place']",
1358,"Visiting museum was an emotional experience for the old veteran, he hid it best he could but he began to what?","['museum', 'veteran', 'emotional', 'experience', 'visiting']",cry
1359,"The rooms in the experimental home were quite unique, they weren't the traditional what?","['rooms', 'experimental', 'home', 'weren', 'traditional']",square shape
1360,How does one decide if instituting a particular civil action is fair?,"['civil', 'action', 'decide', 'fair', 'instituting']",trial
1361,Where are people who do the same kind of work likely to gather?,"['work', 'gather', 'people', 'kind', 'likely']",convention
1362,What happens after eating dinner?,"['dinner', 'eating', 'happens']",become full
1363,What would cause a ship to stop moving?,"['ship', 'moving', 'cause', 'stop']",run aground
1364,What is a train-related expression for exhaustion?,"['exhaustion', 'train', 'expression', 'related']",run out of steam
1365,Where would you find a lot of beds?,"['beds', 'lot']",
1366,Where can you find the tallest skyscraper in the mid-western U.S.?,"['skyscraper', 'tallest', 'western', 'mid']",chicago
1367,What might having a check up lead to for some people?,"['check', 'people', 'having', 'lead']",anxiety
1368,"He was competing for the prestigious prize, though it had no money, what was he seeking by attempting to get it?","['prize', 'money', 'competing', 'prestigious', 'seeking']",accomplishment
1369,"The flour was stored away from the kids so they couldn't play with it, where was it?","['flour', 'kids', 'stored', 'play', 'away']",pantry
1370,"The teacher explained it used a cathode ray tube like other screens, but this what measured things?","['measured', 'screens', 'cathode', 'tube', 'teacher']",oscilloscope
1371,If a contract is not signed it will be?,"['contract', 'signed']",rejected
1372,Where can you find cord along side nails and bolts?,"['nails', 'bolts', 'cord']",hardware store
1373,"The climber was suffering elevation sickness, his wits were suffering what?","['sickness', 'climber', 'elevation', 'suffering', 'wits']",diminishment
1374,James was watching TV when he saw flashing lights that did something bad to him.  What might john have had?,"['john', 'james', 'lights', 'tv', 'flashing']",seizure
1375,How much money should we print if we want to fight inflation?,"['inflation', 'print', 'money', 'fight', 'want']",not very much
1376,What must someone have in order to shop?,"['shop', 'order']",have money
1377,"The always greeted each other with a kiss, it was a simple way to do what?","['kiss', 'greeted', 'simple', 'way']",show affection
1378,"There was a dog, it was barking loudly.  James wasn't scared of it though, because it was confined.  Where might it have been confined to?","['barking', 'confined', 'dog', 'james', 'scared']",backyard
1379,"The magician guessed it was a king, he was very good with a what?","['magician', 'king', 'guessed', 'good']",deck of cards
1380,If you see cars with a light blinking on the driver's side what does that indicate they will do?,"['blinking', 'driver', 'cars', 'light', 'indicate']",turn left
1381,"If a person is looking at houses, what is their end goal?","['houses', 'looking', 'goal', 'person', 'end']",own property
1382,"The dairy cow farm was special, it provided all the milk for the big chocolate company from where?","['cow', 'dairy', 'chocolate', 'milk', 'farm']",switzerland
1383,"If playing the saxophone wasn't enough, she also had to learn the choreographed moves on the field to perform with the what?","['saxophone', 'choreographed', 'perform', 'moves', 'playing']",marching band
1384,John spent an hour in the bath just relaxing.  He enjoyed the sensations of it. He liked doing what?,"['relaxing', 'bath', 'sensations', 'john', 'enjoyed']",feeling good
1385,You can see bald eagles along the Mississippi in what state?,"['mississippi', 'eagles', 'state', 'bald']",iowa
1386,James wanted to socialize more because he felt he lacked what?,"['socialize', 'james', 'lacked', 'felt', 'wanted']",friendship
1387,What country has the carpathians and is the furthest in the direction of the side that won the U.S. Civil War?,"['carpathians', 'furthest', 'country', 'war', 'direction']",poland
1388,In the Roman Empire a person who was not of noble birth was called a what?,"['roman', 'empire', 'noble', 'birth', 'person']",plebeian
1389,Where might a motionless horse be?,"['horse', 'motionless']",painting
1390,"The farmer sought an apple tree cultivar that was hardy in the western United States, where was he looking to plant it?","['cultivar', 'tree', 'plant', 'farmer', 'apple']",idaho
1391,What does a person want to get at a restaurant?,"['restaurant', 'want', 'person', 'does']",delicious food
1392,"The teenagers were celebrating irresponsibly, what were they doing?","['teenagers', 'celebrating', 'irresponsibly', 'doing']",drinking
1393,"The mom liked giving assistance to her children, why did she do it?","['children', 'mom', 'giving', 'assistance', 'liked']",feel loved
1394,What does the bird have in tree?,"['tree', 'bird', 'does']",nest
1395,It seemed weird to have a dental office located next to a candy store and fast food location at the what?,"['dental', 'candy', 'office', 'food', 'weird']",strip mall
1396,What relatively small area is known for its steakhouses?,"['steakhouses', 'area', 'small', 'relatively', 'known']",kansas city
1397,Most people recognize that earth experiences a set of distinct what?,"['earth', 'recognize', 'experiences', 'distinct', 'people']",four seasons
1398,Why would a person stay in a relationship with  a man?,"['relationship', 'stay', 'person', 'man']",good lover
1399,How do you start family?,"['family', 'start']",have sex
1400,"The playroom had many classic toys, the child spilled out each and every plastic monkey out of the what?","['toys', 'monkey', 'playroom', 'child', 'plastic']",barrel
1401,When someone isn't ridiculous at all they are what?,"['ridiculous', 'isn']",serious
1402,When not in a city where would expect to see a bald eagle?,"['eagle', 'city', 'bald', 'expect']",rural area
1403,"The drawing room was one of fifty rooms, where was it located?","['rooms', 'room', 'drawing', 'located']",
1404,Joe thought that the reflected sunshine made something look beautiful.  What might Joe be looking at?,"['sunshine', 'reflected', 'joe', 'look', 'looking']",moon
1405,"If you have an empty glass and are thirsty, where would you put the glass?","['thirsty', 'glass']",water cooler
1406,"Samantha decided to join the game, but there wasn't space. She had to stay on the waitlist until someone else did what?","['waitlist', 'samantha', 'game', 'join', 'space']",leave
1407,"The drink was very sweet.  To maintain his calorie count, John thought that he should have less what?","['calorie', 'drink', 'john', 'count', 'maintain']",food
1408,Graphite is referred to as lead in what writing implement?,"['graphite', 'lead', 'writing', 'implement', 'referred']",lead pencil
1409,What can we assume about people who get up early?,"['early', 'people', 'assume']",go sleep early
1410,Where would you go to see a sword?,['sword'],museum
1411,"He was a bit of an audiophile, he replaced the stylus almost as often as he switched albums to listen to on his what?","['stylus', 'audiophile', 'albums', 'listen', 'switched']",record player
1412,Where does a lizard that needs warmth likely live?,"['lizard', 'warmth', 'live', 'needs', 'likely']",tropics
1413,"The picture was clear,. Obviously, there had been a what?","['picture', 'clear', 'obviously']",misunderstood
1414,What does everyone try their whole life to be?,"['life', 'try', 'does']",happy
1415,What causes meeting people to be preceded by meditation?,"['meditation', 'meeting', 'people', 'preceded', 'causes']",anxiety
1416,Billy hated watchign the turtle move.  He couldn't stand the silly parts.  He was annoyed by all of the what?,"['billy', 'turtle', 'watchign', 'annoyed', 'hated']",stupidity
1417,Where would you go to argue about important bills?,"['argue', 'bills', 'important']",congress
1418,Where would you be unlikely to find a freezer?,"['freezer', 'unlikely']",garage
1419,"The lady had limited time and had to buy many things, where should she go?","['lady', 'buy', 'things', 'limited', 'time']",supermarket
1420,Where would you get a freezer if you do not have one?,['freezer'],appliance store
1421,"If you were doing housework and there was a lot of dust, what can it give you?","['dust', 'housework', 'lot', 'doing']",headache
1422,The first or second floor is the safest from fire when you sleep where away from home?,"['safest', 'floor', 'home', 'second', 'sleep']",hotel
1423,"Everyone crowded around the toilet during a break in the event, where was the toilet?","['toilet', 'event', 'crowded', 'break']",stadium
1424,"When chatting with friends you admire, what are you hoping to achieve?","['chatting', 'friends', 'admire', 'achieve', 'hoping']",social approval
1425,There was no food in Danny place.  He had to go across the road and ask for some. Where might he have asked for food?,"['place', 'danny', 'food', 'road', 'ask']",
1426,Sally and Joe were burned by chemicals because they ignored the signs.  She had chemical burns in her vagina.   Where might they have been?,"['sally', 'chemicals', 'burned', 'burns', 'chemical']",swimming pool
1427,"The board game instructed that you must conquer opponent, only the what would come out on top?","['conquer', 'game', 'board', 'opponent', 'come']",best
1428,What happens when friends observe something at the same time?,"['observe', 'friends', 'time', 'happens']",see like
1429,John didn't like eating the hamburger.  It made him feel what?,"['hamburger', 'john', 'eating', 'feel', 'didn']",nausea
1430,Where would you find a group of travellers who are travelling by road?,"['travelling', 'travellers', 'road', 'group']",bus depot
1431,"Steve breathed in deeply, using his diaphragm.   The diaphragm is a muscle.  Name something that has muscles?","['diaphragm', 'muscles', 'muscle', 'breathed', 'steve']",
1432,What doorway is likely to have a large wooden door?,"['doorway', 'door', 'wooden', 'large', 'likely']",castle
1433,"Where could you find a monkey, elephant, or zebra enjoying a drink?","['elephant', 'zebra', 'monkey', 'drink', 'enjoying']",
1434,John saw an insect using its legs to do this.  Mary saw some insects using their wings to do this.   What is this?,"['insects', 'insect', 'wings', 'legs', 'mary']",move
1435,What is the best course of action for a person to take if they want to get up early?,"['early', 'action', 'person', 'want', 'best']",go to bed early
1436,Where are you when you need a pencil during a advanced theoretical physics speech?,"['pencil', 'speech', 'physics', 'theoretical', 'advanced']",university
1437,"Art, playing music, and other hobbies are great ways of expressing yourself that can be great what?","['hobbies', 'art', 'expressing', 'music', 'playing']",fun
1438,Where is a variety of birds likely to be?,"['birds', 'variety', 'likely']",countryside
1439,"The living conditions were poor, but the building wasn't condemned as they were still barely what?","['condemned', 'building', 'poor', 'living', 'conditions']",adequate
1440,Which coast are toll roads not near the pacific ocean on?,"['coast', 'ocean', 'toll', 'roads', 'pacific']",eastern united states
1441,Where would you put tin after you buy it?,"['tin', 'buy']",shopping bag
1442,"Where can you buy clothing, sporting goods, and housewares?","['housewares', 'clothing', 'buy', 'goods', 'sporting']",department store
1443,Where can you take your kids to buy things for them to play with?,"['kids', 'play', 'things', 'buy']",toy store
1444,"When they say dogs are a man's best friend, they aren't talking about just whats?","['dogs', 'friend', 'aren', 'man', 'talking']",males
1445,"When a person climbs a mountain and is breathing fresh air, which feeling are they likely to have?","['mountain', 'climbs', 'air', 'feeling', 'breathing']",exhilaration
1446,What might an unsuccessful writing program cause?,"['writing', 'program', 'unsuccessful', 'cause']",frustration
1447,Where is a flute likely to be in a pit?,"['flute', 'pit', 'likely']",orchestra
1448,Sometimes people say that someone stupid has no what?,"['stupid', 'say', 'people']",brains
1449,Where would you put a ficus if you do not want it to get your carpet dirty?,"['carpet', 'ficus', 'dirty', 'want']",ground
1450,"She was distracted in thought in class, she felt alone even what?","['distracted', 'class', 'felt', 'thought']",in crowd
1451,Where could you make a hole with your fist?,"['hole', 'fist', 'make']",wall
1452,Where would you find a tennis court made from red clay?,"['tennis', 'clay', 'court', 'red']",wimbledon
1453,If you legs are tired and you need to have a rest you should do what?,"['rest', 'legs', 'tired', 'need']",sit down
1454,What happens to most people after playing tennis all day?,"['tennis', 'playing', 'day', 'people', 'happens']",becoming tired
1455,Where does a television often display sports?,"['television', 'sports', 'display', 'does']",bar
1456,The animals all knew the importants of fluids.  They also knew what was safe to do what?,"['fluids', 'animals', 'importants', 'knew', 'safe']",drink
1457,"After the sex she had spent the night at his house, he got up early to make and what?","['sex', 'night', 'house', 'make', 'spent']",eat breakfast
