,answerKey,id,question.question_concept,question.choices,question.stem,keywords
2229,C,8b823508bc7556182acd135c626c8d8a,liquid,"[{'label': 'A', 'text': 'jar'}, {'label': 'B', 'text': 'cup'}, {'label': 'C', 'text': 'drinking glass'}, {'label': 'D', 'text': 'container'}, {'label': 'E', 'text': 'tankard'}]",James consumed a liquid.  What did he most likely use to hold the liquid?,"['liquid', 'james', 'consumed', 'use', 'hold']"
2230,C,70efb0eb2ec82d2cbf4d4c55f1036db4,bomb,"[{'label': 'A', 'text': 'mail box'}, {'label': 'B', 'text': 'car'}, {'label': 'C', 'text': 'aircraft'}, {'label': 'D', 'text': 'afghanistan'}, {'label': 'E', 'text': 'suitcase'}]","When generals want to drop bombs, what vehicle do they need?","['bombs', 'generals', 'vehicle', 'drop', 'want']"
2231,A,1f4d760c8d48bc6667995ffc6c7fadd5,living,"[{'label': 'A', 'text': 'interaction'}, {'label': 'B', 'text': 'plants'}, {'label': 'C', 'text': 'respiration'}, {'label': 'D', 'text': 'expiration'}, {'label': 'E', 'text': 'perspiration'}]","Old folks who are living in facilities are often lonely, what do they need?","['lonely', 'facilities', 'old', 'need', 'living']"
2232,C,9fc9abae9e3ddb6f1315f0b8e6ac5c53,killing,"[{'label': 'A', 'text': 'michigan'}, {'label': 'B', 'text': 'dies'}, {'label': 'C', 'text': 'feeling of guilt'}, {'label': 'D', 'text': 'being imprisoned'}, {'label': 'E', 'text': 'bloody mess'}]",What might a good person experience after killing someone?,"['killing', 'experience', 'person', 'good']"
2233,A,0c7eb3d8bb26df50371c9e79bf66fbbf,thinking,"[{'label': 'A', 'text': 'depression'}, {'label': 'B', 'text': 'knowledge'}, {'label': 'C', 'text': 'confused'}, {'label': 'D', 'text': 'fatigue'}, {'label': 'E', 'text': 'figure out'}]","When the woman was thinking about her failures in life, what did she feel?","['failures', 'woman', 'life', 'feel', 'thinking']"
2234,B,6062fe8941bd56fc09bff4f5e2f83a12_1,discovering truth,"[{'label': 'A', 'text': 'enlightenment'}, {'label': 'B', 'text': 'conclusion'}, {'label': 'C', 'text': 'beginning'}, {'label': 'D', 'text': 'relief'}, {'label': 'E', 'text': 'happiness'}]",Discovering truth normally occurs at what part of a research process?,"['research', 'discovering', 'truth', 'process', 'occurs']"
2235,B,bc59020ba0a56576bd41dfcc9a14154f,railing,"[{'label': 'A', 'text': 'deck'}, {'label': 'B', 'text': 'stairwell'}, {'label': 'C', 'text': 'flight of stairs'}, {'label': 'D', 'text': 'feet'}, {'label': 'E', 'text': 'house'}]",What might an elderly person install a railing on to help them pull themselves up?,"['railing', 'elderly', 'pull', 'person', 'help']"
2236,D,a1e3787b8eb68f55e4759b38dc2cf438,beam,"[{'label': 'A', 'text': 'ceiling'}, {'label': 'B', 'text': 'large building'}, {'label': 'C', 'text': 'warehouse'}, {'label': 'D', 'text': 'construction site'}, {'label': 'E', 'text': 'train station'}]",Where is a beam likely to be created?,"['beam', 'created', 'likely']"
2237,B,93427faefda9e6feb9c500054c3dc872,relaxing,"[{'label': 'A', 'text': 'relax'}, {'label': 'B', 'text': 'lower blood pressure'}, {'label': 'C', 'text': 'feel happy'}, {'label': 'D', 'text': 'lie back'}, {'label': 'E', 'text': 'sleeping'}]",John spent time relaxing because  he was told he needed to do what?,"['john', 'relaxing', 'time', 'spent', 'needed']"
2238,C,f6264e520bb920cb82851012d714c166,rubber stamp,"[{'label': 'A', 'text': 'art class'}, {'label': 'B', 'text': 'indiana'}, {'label': 'C', 'text': 'office'}, {'label': 'D', 'text': 'insane asylum'}, {'label': 'E', 'text': 'desk'}]","The receptionist lady loved to use a rubber stamp on her notes, she was the most pleasant person in the whole what?","['receptionist', 'stamp', 'lady', 'notes', 'rubber']"
2239,B,a74227211b27c20ba741a9d46cf01c55,hitting bottle,"[{'label': 'A', 'text': 'alcoholism'}, {'label': 'B', 'text': 'breaking'}, {'label': 'C', 'text': 'fly'}, {'label': 'D', 'text': 'nausea'}, {'label': 'E', 'text': 'ticket'}]",A person's hand hurts after hitting the bottle. What might happen to the bottle?,"['bottle', 'hand', 'hurts', 'hitting', 'happen']"
2240,D,df3e19aea12e61bd4b6eb43e843dfc0b,vessel,"[{'label': 'A', 'text': 'ocean'}, {'label': 'B', 'text': 'head'}, {'label': 'C', 'text': 'port'}, {'label': 'D', 'text': 'human body'}, {'label': 'E', 'text': 'streets'}]",People of faith believe what is a vessel for the soul?,"['soul', 'faith', 'vessel', 'believe', 'people']"
2241,B,1b6f3d758f442c4084adfef7c4e82510,seeing idea become reality,"[{'label': 'A', 'text': 'sad'}, {'label': 'B', 'text': 'very nice'}, {'label': 'C', 'text': 'inspiration'}, {'label': 'D', 'text': 'fulfilling'}, {'label': 'E', 'text': 'make money'}]","He was finally able to experience seeing his idea become reality, how  is he likely to feel?","['feel', 'experience', 'idea', 'likely', 'reality']"
2242,B,ac0462d09b9fddd40c3c77aedf48a870,corner shop,"[{'label': 'A', 'text': 'england'}, {'label': 'B', 'text': 'street corner'}, {'label': 'C', 'text': 'minnesota'}, {'label': 'D', 'text': 'arizona'}, {'label': 'E', 'text': 'iowa'}]","John runs a small corner shop.   If you were walking on a sidewalk near it, where would you look for it?","['sidewalk', 'corner', 'shop', 'john', 'walking']"
2243,D,9cf549ffda371a9740950f00dfffd104,movies,"[{'label': 'A', 'text': 'clever'}, {'label': 'B', 'text': 'entertaining'}, {'label': 'C', 'text': 'watched by people'}, {'label': 'D', 'text': 'funny'}, {'label': 'E', 'text': 'excellent'}]",Movies which contain unusual or unexpected events which are lighthearted in tone are trying to be what?,"['movies', 'lighthearted', 'events', 'unexpected', 'unusual']"
2244,B,fab06170af4dee3f33e40d2b5ca26ffa,contraceptive,"[{'label': 'A', 'text': 'medicine cabinet'}, {'label': 'B', 'text': 'drug store'}, {'label': 'C', 'text': 'pharmacy'}, {'label': 'D', 'text': ""doctor's office""}, {'label': 'E', 'text': 'vagina'}]",Where is a good place to purchase a contraceptive?,"['contraceptive', 'purchase', 'place', 'good']"
2245,A,beb3095793bbc273aa457dd1bb63359f,eyes,"[{'label': 'A', 'text': 'tear up'}, {'label': 'B', 'text': 'glass over'}, {'label': 'C', 'text': 'see light'}, {'label': 'D', 'text': 'shine when exited'}, {'label': 'E', 'text': 'see work'}]",Why would water come out of someones eyes ?,"['water', 'eyes', 'someones', 'come']"
2246,D,e1844c0e0678b857564c964eb6283598,see favorite show,"[{'label': 'A', 'text': 'smile'}, {'label': 'B', 'text': 'buy tickets'}, {'label': 'C', 'text': 'laugh'}, {'label': 'D', 'text': 'relax'}, {'label': 'E', 'text': 'succeed'}]",Settling in to see your favorite show is a great way to do what after a hard days work?,"['work', 'settling', 'favorite', 'days', 'great']"
2247,A,96c5d630be5120f6fe70d34083fbaaf0,learning about subject,"[{'label': 'A', 'text': 'form opinions'}, {'label': 'B', 'text': 'change'}, {'label': 'C', 'text': 'headache'}, {'label': 'D', 'text': 'advance'}, {'label': 'E', 'text': 'start reproduction'}]",What can one do better after learning about a subject?,"['learning', 'subject', 'better']"
2248,B,748af43c0c48e14830f6e007e5abd629,reading book,"[{'label': 'A', 'text': 'learn things'}, {'label': 'B', 'text': 'discussion'}, {'label': 'C', 'text': 'fit'}, {'label': 'D', 'text': 'learning'}, {'label': 'E', 'text': 'nightmares'}]",If a group of friends have gathered after reading a book they are likely about to have a what?,"['friends', 'book', 'reading', 'gathered', 'group']"
2249,C,d75512bb8adec12fe617b5cf97a0d669,hunger,"[{'label': 'A', 'text': 'went to restaurant'}, {'label': 'B', 'text': 'bring home fish'}, {'label': 'C', 'text': 'go to market'}, {'label': 'D', 'text': 'make bread'}, {'label': 'E', 'text': 'cook dinner'}]",Josh was experiencing hunger so he took his keys and his wallet and did what?,"['josh', 'hunger', 'wallet', 'keys', 'took']"
2250,A,68345ed857227e7512b9922ddd3f088b,hat,"[{'label': 'A', 'text': 'head'}, {'label': 'B', 'text': 'leg'}, {'label': 'C', 'text': 'suitcase'}, {'label': 'D', 'text': 'closet'}, {'label': 'E', 'text': 'shelf'}]",Where does a hat go when you wear it?,"['hat', 'wear', 'does']"
2251,C,d0fe6f5678dee8d00e8d2ba55468943f,couples,"[{'label': 'A', 'text': 'date'}, {'label': 'B', 'text': 'have sex'}, {'label': 'C', 'text': 'enjoy movie'}, {'label': 'D', 'text': 'row with each other'}, {'label': 'E', 'text': 'enjoy sex'}]",It was directed towards women but it was mostly couples who what?,"['couples', 'women', 'directed']"
2252,B,fafd47131f563bef99f59e528f6883cf,chesterfield,"[{'label': 'A', 'text': 'ashtray'}, {'label': 'B', 'text': 'living room'}, {'label': 'C', 'text': 'museum'}, {'label': 'D', 'text': 'foyer'}, {'label': 'E', 'text': 'derbyshire'}]","He wanted his chesterfield near his magazine rack, where does he put it?","['chesterfield', 'rack', 'magazine', 'near', 'wanted']"
2253,A,b313cc908e31ea60e6b062deaac7dd04,exercise,"[{'label': 'A', 'text': 'get tired'}, {'label': 'B', 'text': 'lose weight'}, {'label': 'C', 'text': 'aerobic activity'}, {'label': 'D', 'text': 'fatigue'}, {'label': 'E', 'text': 'drink water'}]","The trainer told him to keep doing the same exercise, he said he had to keep doing it until he what?","['exercise', 'trainer', 'doing', 'told', 'said']"
2254,A,517f9d923bdfbb1185951f34d6cb2d59,teachers,"[{'label': 'A', 'text': 'answering questions'}, {'label': 'B', 'text': 'pop quiz'}, {'label': 'C', 'text': 'school children'}, {'label': 'D', 'text': 'school students'}, {'label': 'E', 'text': 'teach children'}]",What do teachers often do after teaching a lesson?,"['teaching', 'teachers', 'lesson']"
2255,D,5f7d15d85b9b88dbdbfc4c809a16ce8d,eating place,"[{'label': 'A', 'text': 'restaurant'}, {'label': 'B', 'text': 'dining room'}, {'label': 'C', 'text': 'mars'}, {'label': 'D', 'text': 'big city'}, {'label': 'E', 'text': 'shopping area'}]",We live in a small town and when we want to have a nice meal out we go where?,"['town', 'meal', 'small', 'want', 'live']"
2256,A,3c6c5e893b409e839886d7bb2b61e63a,shop,"[{'label': 'A', 'text': 'compare prices'}, {'label': 'B', 'text': 'spending of money'}, {'label': 'C', 'text': 'have fun'}, {'label': 'D', 'text': 'splurge'}, {'label': 'E', 'text': 'purchasing'}]",How do people evaluate what to buy at a shop?,"['shop', 'evaluate', 'buy', 'people']"
2257,D,99d6eac92a46a821530733ac943e77c9,bullet,"[{'label': 'A', 'text': 'bandolier'}, {'label': 'B', 'text': 'gun shop'}, {'label': 'C', 'text': 'magazine'}, {'label': 'D', 'text': 'casing'}, {'label': 'E', 'text': 'gunpowder'}]",what is the cartridge of a bullet called?,"['bullet', 'cartridge', 'called']"
2258,E,19bc1da06036bc3818c4aa9634dbb913,dry storage,"[{'label': 'A', 'text': 'pantry'}, {'label': 'B', 'text': 'storage closet'}, {'label': 'C', 'text': 'building'}, {'label': 'D', 'text': 'wet'}, {'label': 'E', 'text': 'warehouse'}]","The grain-seller needed dry storage, where should he put it?","['grain', 'storage', 'dry', 'seller', 'needed']"
2259,C,7b89fe3ff96a8701fe46ae0ea6764051,flirting,"[{'label': 'A', 'text': 'getting into trouble'}, {'label': 'B', 'text': 'sparks fly'}, {'label': 'C', 'text': 'sexual excitement'}, {'label': 'D', 'text': 'sadness'}, {'label': 'E', 'text': 'unwanted pregnancy'}]","When you get down to the primal basics, flirting causes what?","['flirting', 'primal', 'basics', 'causes']"
2260,D,7d6424a6a0e970825d488680f51330bf,shower curtain,"[{'label': 'A', 'text': 'bathtub'}, {'label': 'B', 'text': 'dime store'}, {'label': 'C', 'text': 'department store'}, {'label': 'D', 'text': 'hotel'}, {'label': 'E', 'text': 'police station'}]",Where would you find many shower curtain being used?,"['curtain', 'shower', 'used']"
2261,E,375c67436bd34a591775e3d420b0c2b1,drug dealer,"[{'label': 'A', 'text': 'supply drugs'}, {'label': 'B', 'text': 'prison'}, {'label': 'C', 'text': 'sell drugs'}, {'label': 'D', 'text': 'jail'}, {'label': 'E', 'text': 'nightclub'}]",Where does a drug dealer like to hang out?,"['dealer', 'drug', 'like', 'hang', 'does']"
2262,D,7177972aa7f64dc3d82055aa41cf10e8,punishing,"[{'label': 'A', 'text': 'hatred'}, {'label': 'B', 'text': 'feel sorry for'}, {'label': 'C', 'text': 'feel guilty'}, {'label': 'D', 'text': 'retribution'}, {'label': 'E', 'text': 'funny'}]",Dave felt that punishing John for making a mistake would be wrong.  It would not be just. It would only be what?,"['dave', 'punishing', 'john', 'mistake', 'wrong']"
2263,E,da71ed330f6bb3db3e8e754a4e92a944,men,"[{'label': 'A', 'text': 'female group'}, {'label': 'B', 'text': 'father'}, {'label': 'C', 'text': 'gods'}, {'label': 'D', 'text': 'boys'}, {'label': 'E', 'text': 'lady'}]",A man is supposed to walk closer to the street when with a?,"['walk', 'closer', 'street', 'man', 'supposed']"
2264,A,102df7348bd5219f43d1c7cf917818ba,cottage,"[{'label': 'A', 'text': 'fairy story'}, {'label': 'B', 'text': 'desert'}, {'label': 'C', 'text': 'village'}, {'label': 'D', 'text': 'rural area'}, {'label': 'E', 'text': 'mountains'}]",Where could there be a floating cottage?,"['cottage', 'floating']"
2265,C,7d08ffdba30b3a64e78b364ee91b367a,star,"[{'label': 'A', 'text': 'night sky'}, {'label': 'B', 'text': 'black hole'}, {'label': 'C', 'text': 'globular cluster'}, {'label': 'D', 'text': 'press conference'}, {'label': 'E', 'text': 'heavens'}]",Older stars collect in groups called what on the outer regions of a galaxy?,"['stars', 'galaxy', 'outer', 'groups', 'regions']"
2266,A,92d610398e767c8db8d38b1df84f82b4,bishop,"[{'label': 'A', 'text': 'chess game'}, {'label': 'B', 'text': 'church'}, {'label': 'C', 'text': 'in a car'}, {'label': 'D', 'text': 'queen'}, {'label': 'E', 'text': 'cathedral'}]",How does a bishop move from one place to another?,"['bishop', 'place', 'does']"
2267,A,26bd970548738a68e7b01489e15fcc1d,gaining more land,"[{'label': 'A', 'text': 'making more money'}, {'label': 'B', 'text': 'disputes'}, {'label': 'C', 'text': 'more work'}, {'label': 'D', 'text': 'more responsibility'}, {'label': 'E', 'text': 'higher taxes'}]",When a farmer is gaining more land what is the expected positive consequence?,"['farmer', 'land', 'consequence', 'gaining', 'positive']"
2268,E,55ac346425f4706460ff264817063dfe,handle,"[{'label': 'A', 'text': 'brush'}, {'label': 'B', 'text': 'carry object'}, {'label': 'C', 'text': 'walking stick'}, {'label': 'D', 'text': 'umbrella'}, {'label': 'E', 'text': 'saucepan'}]",Care not to burn you hand on the handle of what small high-walled vessel?,"['vessel', 'handle', 'hand', 'walled', 'small']"
2269,B,7c6fcb5327fa26225efac3c10ef1ccab,eating breakfast,"[{'label': 'A', 'text': 'fullness'}, {'label': 'B', 'text': 'have energy'}, {'label': 'C', 'text': 'better day'}, {'label': 'D', 'text': 'full stomach'}, {'label': 'E', 'text': 'indulge'}]",Why does someone make sure they are eating breakfast?,"['breakfast', 'eating', 'does', 'make', 'sure']"
2270,C,6500a3dfb040c2c690d22ba3aa3bc48f,jumping rope,"[{'label': 'A', 'text': 'look silly'}, {'label': 'B', 'text': 'sweating'}, {'label': 'C', 'text': 'ankle sprain'}, {'label': 'D', 'text': 'high cholesterol'}, {'label': 'E', 'text': 'becoming tired'}]",What is a possible injury from jumping rope?,"['jumping', 'rope', 'injury', 'possible']"
2271,A,09ad40fb1fc424afce1226620516e05e,cat,"[{'label': 'A', 'text': 'eyes'}, {'label': 'B', 'text': 'litter of kittens'}, {'label': 'C', 'text': 'four legs'}, {'label': 'D', 'text': 'nose'}, {'label': 'E', 'text': 'flippers'}]",What is the most likely feature of a cat that you can see in the dark?,"['cat', 'dark', 'feature', 'likely']"
2272,D,2822287fea56a6c5dae309b968692fca,wardrobe,"[{'label': 'A', 'text': 'recreational vehicle'}, {'label': 'B', 'text': 'clothes cupboard'}, {'label': 'C', 'text': 'house'}, {'label': 'D', 'text': 'mansion'}, {'label': 'E', 'text': 'bedroom'}]",Where is likely to have a walk in type wardrobe?,"['wardrobe', 'walk', 'type', 'likely']"
2273,E,5f65b1a832e5e784b99594d67d800ac5,lamp,"[{'label': 'A', 'text': 'building'}, {'label': 'B', 'text': 'house'}, {'label': 'C', 'text': 'store'}, {'label': 'D', 'text': 'ocean'}, {'label': 'E', 'text': 'bedroom'}]",Bobby found the lamp beside him when he got up. Where was the lamp?,"['lamp', 'bobby', 'got']"
2274,E,874e1572efa4fc7ffc4df1688c1ba08e,shelf,"[{'label': 'A', 'text': 'cabinet'}, {'label': 'B', 'text': 'school building'}, {'label': 'C', 'text': 'bank'}, {'label': 'D', 'text': 'bookstore'}, {'label': 'E', 'text': 'bedroom'}]",Joe kept all of his school books on a shelf where he could easily get to them when he wanted to study.  Where was this shelf likely located?,"['shelf', 'books', 'school', 'located', 'joe']"
2275,B,b6fcbc289e3670e3d4954f8e45f55081,riding bike,"[{'label': 'A', 'text': 'run away'}, {'label': 'B', 'text': 'get somewhere'}, {'label': 'C', 'text': 'falling down'}, {'label': 'D', 'text': 'accident'}, {'label': 'E', 'text': 'pleasure'}]","The man was riding bike very quickly, clearly he had to what?","['bike', 'riding', 'quickly', 'clearly', 'man']"
2276,A,1ab01fcae287f39f0c451a6eb62d3ab2,confusion,"[{'label': 'A', 'text': 'mind'}, {'label': 'B', 'text': 'class'}, {'label': 'C', 'text': 'the meaning of life'}, {'label': 'D', 'text': 'war'}, {'label': 'E', 'text': 'opera'}]","The mental patient suffered confusion, what were his doctor's trying to decipher?","['decipher', 'doctor', 'patient', 'confusion', 'mental']"
2277,B,6f8397a430166fc2d00866eeec1ff62e,start family,"[{'label': 'A', 'text': 'regret'}, {'label': 'B', 'text': 'stressed'}, {'label': 'C', 'text': 'have sex'}, {'label': 'D', 'text': 'need more money'}, {'label': 'E', 'text': 'spend money'}]",What could happen after you start family due to babies crying?,"['babies', 'crying', 'family', 'start', 'happen']"
2278,D,90226a6ecd7308ae1e6220a15ae24bc6,carpeting,"[{'label': 'A', 'text': 'istanbul'}, {'label': 'B', 'text': 'fireplace'}, {'label': 'C', 'text': 'gym'}, {'label': 'D', 'text': 'houses'}, {'label': 'E', 'text': 'bedroom'}]","The family wanted to live with carpeting, so where did they end up putting it?","['carpeting', 'family', 'putting', 'live', 'end']"
2279,E,d84ec585c07940021689e8abf1ccab27,going into trance,"[{'label': 'A', 'text': 'mystical experience'}, {'label': 'B', 'text': 'confusion'}, {'label': 'C', 'text': 'sleepwalking'}, {'label': 'D', 'text': 'peacefulness'}, {'label': 'E', 'text': 'memory loss'}]",What is someone likely to have after going into a trance?,"['trance', 'likely', 'going']"
2280,C,0033056483ba6423535f0d693d09c4cf,dictionary,"[{'label': 'A', 'text': 'chair'}, {'label': 'B', 'text': 'library'}, {'label': 'C', 'text': 'table'}, {'label': 'D', 'text': 'classroom'}, {'label': 'E', 'text': 'shelf'}]","His studying was going nowhere, he returned the dictionary to under the wobbly leg of the what?","['dictionary', 'studying', 'wobbly', 'leg', 'going']"
2281,C,56e8c96646ceda33c973d4f7da5944a8,house,"[{'label': 'A', 'text': 'residential area'}, {'label': 'B', 'text': 'kitchen'}, {'label': 'C', 'text': 'basement'}, {'label': 'D', 'text': 'yard'}, {'label': 'E', 'text': 'living room'}]","The house had expensive insurance, this was because the what had an established history of flooding?","['flooding', 'insurance', 'house', 'expensive', 'history']"
2282,A,629f0241200ad76e018db1357c43a394,files,"[{'label': 'A', 'text': 'desk'}, {'label': 'B', 'text': 'filing cabinet'}, {'label': 'C', 'text': 'harddisk'}, {'label': 'D', 'text': 'drawer'}, {'label': 'E', 'text': 'computers'}]",Where would you keep paper files you're currently working on?,"['files', 'paper', 'working', 'currently']"
2283,E,a46860030c7131a67fb6542e152bb6cc,sugar,"[{'label': 'A', 'text': ""neighbor's house""}, {'label': 'B', 'text': 'every home'}, {'label': 'C', 'text': 'container'}, {'label': 'D', 'text': 'cupboard'}, {'label': 'E', 'text': 'coffee'}]",People put sugar in what black beverage?,"['sugar', 'beverage', 'black', 'people']"
2284,E,54d75bdd44467a27615453c300680288,punishing,"[{'label': 'A', 'text': 'hatred'}, {'label': 'B', 'text': 'heart attack'}, {'label': 'C', 'text': 'resentment'}, {'label': 'D', 'text': 'feel guilty'}, {'label': 'E', 'text': 'stress'}]",If you have a punishing work schedule what may you experience?,"['work', 'schedule', 'punishing', 'experience']"
2285,C,4f42203d7d08cac13514e28e68490fdb,air conditioning,"[{'label': 'A', 'text': 'on the tables'}, {'label': 'B', 'text': 'movie theatre'}, {'label': 'C', 'text': 'offices'}, {'label': 'D', 'text': 'car'}, {'label': 'E', 'text': 'house'}]","The employees were complaining about lack of air conditioning, so where did the boss decide to install it?","['employees', 'boss', 'air', 'install', 'conditioning']"
2286,C,aba0b2157aed944324f83dd882614ced,energy,"[{'label': 'A', 'text': 'fatigue'}, {'label': 'B', 'text': 'matter'}, {'label': 'C', 'text': 'weakness'}, {'label': 'D', 'text': 'deprived'}, {'label': 'E', 'text': 'mass'}]",What do we feel when we run out of energy?,"['energy', 'feel', 'run']"
2287,B,3f47cb3566460aff6f57bfd2fb916a72,fungus,"[{'label': 'A', 'text': 'toenails'}, {'label': 'B', 'text': 'shower stall'}, {'label': 'C', 'text': 'mushroom'}, {'label': 'D', 'text': 'cave'}, {'label': 'E', 'text': 'basement'}]",Mildew is a type of fungus you most often find where?,"['fungus', 'mildew', 'type']"
2288,E,f8391e73eedb38e4422f43c609d2f36f,killing,"[{'label': 'A', 'text': 'man hunt'}, {'label': 'B', 'text': 'punishment'}, {'label': 'C', 'text': 'going to jail'}, {'label': 'D', 'text': 'retribution'}, {'label': 'E', 'text': 'investigation'}]","Following a killing, what are the police likely to begin?","['police', 'killing', 'begin', 'following', 'likely']"
2289,B,4bc72d949e21d26a16ecc7c87fddcefd,child,"[{'label': 'A', 'text': 'brood'}, {'label': 'B', 'text': 'read book'}, {'label': 'C', 'text': 'become adult'}, {'label': 'D', 'text': 'ask questions'}, {'label': 'E', 'text': 'clean room'}]",What can a child do to quietly pass the time?,"['quietly', 'child', 'time', 'pass']"
2290,C,0880f3bd0ee24bfe166b1b00ac610f33,highway,"[{'label': 'A', 'text': 'atlas'}, {'label': 'B', 'text': 'countryside'}, {'label': 'C', 'text': 'united states'}, {'label': 'D', 'text': 'between to cities'}, {'label': 'E', 'text': 'repairs'}]","They wanted to go on a road trip, they picked each highway to take them on their way across where?","['highway', 'road', 'trip', 'picked', 'way']"
2291,B,22fc65e05494387b91f06a371a352be8,freedom,"[{'label': 'A', 'text': 'slavery'}, {'label': 'B', 'text': 'communism'}, {'label': 'C', 'text': 'evil'}, {'label': 'D', 'text': 'captivity'}, {'label': 'E', 'text': 'good'}]","Though its intentions are for the people, freedom often finds itself cast aside under many historical examples of what?","['freedom', 'historical', 'examples', 'intentions', 'people']"
2292,E,e648f0481d45fc5eb400c37118f25693,faith,"[{'label': 'A', 'text': 'dream'}, {'label': 'B', 'text': 'light way'}, {'label': 'C', 'text': 'belief'}, {'label': 'D', 'text': 'trust'}, {'label': 'E', 'text': 'experience'}]",The religious man was explaining that his faith was something that only he could what?,"['faith', 'religious', 'explaining', 'man']"
2293,E,de3e902c614555387120f1dcb8d4153d,blood,"[{'label': 'A', 'text': 'soccer game'}, {'label': 'B', 'text': 'musle'}, {'label': 'C', 'text': 'vein'}, {'label': 'D', 'text': 'animals'}, {'label': 'E', 'text': 'person'}]","The blood was everywhere in the operating room, what were the surgeons operating on?","['blood', 'surgeons', 'operating', 'room']"
2294,C,9e271074ec4433ee4bc962cf98afb3a6,cat,"[{'label': 'A', 'text': 'get wet'}, {'label': 'B', 'text': 'wool sweater'}, {'label': 'C', 'text': 'eat vegetables'}, {'label': 'D', 'text': 'hunt prey'}, {'label': 'E', 'text': 'sharp claws'}]",A cat is a carnivore which means they don't do what?,"['carnivore', 'cat', 'means', 'don']"
2295,D,8f04e954c9fad4c464ef1373739f690e,gift,"[{'label': 'A', 'text': 'specialty store'}, {'label': 'B', 'text': 'christmas tree'}, {'label': 'C', 'text': 'lost and found'}, {'label': 'D', 'text': 'department store'}, {'label': 'E', 'text': 'party'}]","I am looking for a gift for someone I barely know, where do I look?","['gift', 'looking', 'look', 'know', 'barely']"
2296,B,fa411c224fc48a5e400ac564b1ad4b03,membrane,"[{'label': 'A', 'text': 'protect'}, {'label': 'B', 'text': 'cell'}, {'label': 'C', 'text': 'filtration'}, {'label': 'D', 'text': 'animal'}, {'label': 'E', 'text': 'fresh egg'}]","The membrane could be observed through magnification, it protected the what?","['membrane', 'magnification', 'protected', 'observed']"
2297,A,0e3a414880f248ca00844eba6c778732,getting divorce,"[{'label': 'A', 'text': 'being single'}, {'label': 'B', 'text': 'stressful'}, {'label': 'C', 'text': 'emotional distress'}, {'label': 'D', 'text': 'anguish'}, {'label': 'E', 'text': 'bad feelings'}]","After getting a divorce, what is your marital status?","['marital', 'divorce', 'status', 'getting']"
2298,B,8375e53b318af3013ad50eabbf62cc94,keyboard,"[{'label': 'A', 'text': 'office'}, {'label': 'B', 'text': 'music store'}, {'label': 'C', 'text': 'school'}, {'label': 'D', 'text': 'classifieds'}, {'label': 'E', 'text': 'landfill'}]",Where would you get a keyboard if you do not have one?,['keyboard']
2299,E,4ec2136a93d093ab760695e0b200534e,clothes,"[{'label': 'A', 'text': 'house'}, {'label': 'B', 'text': 'closet'}, {'label': 'C', 'text': 'beach'}, {'label': 'D', 'text': 'clothing store'}, {'label': 'E', 'text': 'mall'}]",Where would you go if you wanted to buy clothes as well as other things?,"['clothes', 'buy', 'things', 'wanted']"
2300,C,2f0ec63853e3d46875c3864c60cb5b0e,canal,"[{'label': 'A', 'text': 'sydney'}, {'label': 'B', 'text': 'bridge'}, {'label': 'C', 'text': 'amsterdam'}, {'label': 'D', 'text': 'venice'}, {'label': 'E', 'text': 'michigan'}]",Where in Northern Europe would you find many canals?,"['canals', 'europe', 'northern']"
2301,D,fe2cf779b56fe3b9b352eccc7dd9bcc0,lamp,"[{'label': 'A', 'text': 'house'}, {'label': 'B', 'text': 'bedroom'}, {'label': 'C', 'text': 'building'}, {'label': 'D', 'text': 'store'}, {'label': 'E', 'text': 'library'}]",James needed a new lamp so he went where?,"['lamp', 'james', 'new', 'went', 'needed']"
2302,A,c1934461b0b541416651f87097eb8c24,master control,"[{'label': 'A', 'text': 'main office'}, {'label': 'B', 'text': 'center'}, {'label': 'C', 'text': 'beach'}, {'label': 'D', 'text': 'manufacturing plant'}, {'label': 'E', 'text': 'basement'}]",Where is a master control likely to be in a technology company?,"['control', 'company', 'master', 'technology', 'likely']"
2303,E,29e5bc8830b4672bb2f7e617c6f5d9eb,hitting bottle,"[{'label': 'A', 'text': 'passing out'}, {'label': 'B', 'text': 'fist'}, {'label': 'C', 'text': 'breaking'}, {'label': 'D', 'text': 'ticket'}, {'label': 'E', 'text': 'alcoholism'}]","If a person spends a lot of time hitting the bottle, what might he have?","['bottle', 'hitting', 'lot', 'person', 'time']"
2304,C,0461e0d3b784651218f571e619ee9cf9,pass sentence,"[{'label': 'A', 'text': 'sure'}, {'label': 'B', 'text': 'arrive at conviction'}, {'label': 'C', 'text': 'on jury'}, {'label': 'D', 'text': 'judgemental'}, {'label': 'E', 'text': 'mom'}]",In a court what group passes a sentence?,"['court', 'group', 'sentence', 'passes']"
2305,E,5aef8dbaf0eaef3e3f38f063f48513a5,play chess,"[{'label': 'A', 'text': 'sneeze'}, {'label': 'B', 'text': 'winning'}, {'label': 'C', 'text': 'thinking'}, {'label': 'D', 'text': 'checking'}, {'label': 'E', 'text': 'think ahead'}]","Whenever I play chess, the other person seems to anticipate my moves, what can they do?","['chess', 'anticipate', 'moves', 'play', 'person']"
