,question.stem,keywords
297,How would you know if someone who does not succeed often is a christian?,"['christian', 'succeed', 'does', 'know']"
298,Solo feels good when he's creating art.  Seeing his work take form makes him feel immense satisfaction in his skills.  Showing it to others makes him feel what emotion?,"['solo', 'art', 'emotion', 'satisfaction', 'feel']"
299,"Gary was walking for a long time, but all he could see was sand.  He didn't know how far he went, or how much farther he had to go.  Where might Gary be?","['sand', 'walking', 'gary', 'farther', 'far']"
300,What is the overall goal likely to be of someone who is helping others?,"['helping', 'goal', 'overall', 'likely']"
301,"If a young person wants to express themselves, what outlets do they try to find?","['young', 'outlets', 'express', 'wants', 'person']"
302,"If someone is looking at a ceiling in their bedroom, where are they likely located?","['ceiling', 'bedroom', 'located', 'looking', 'likely']"
303,What does a child learn in school to do?,"['school', 'child', 'learn', 'does']"
304,"They were lost in the woods and scared, but praying made them what?","['praying', 'lost', 'woods', 'scared']"
305,"He needed stitches, the doctor aimed the point of the what and began?","['stitches', 'doctor', 'aimed', 'began', 'point']"
306,"People were sitting in rows waiting for the performance, where were they?","['sitting', 'rows', 'waiting', 'performance', 'people']"
307,"If I am creating art and drop my paintbrush, what is my feeling?","['paintbrush', 'art', 'feeling', 'drop', 'creating']"
308,"The person decided they wanted to return the overpriced product, it was really bad quality for the what kind of price tag?","['overpriced', 'quality', 'product', 'price', 'return']"
309,Why would a ship slow down to avoid a collision?,"['collision', 'ship', 'slow', 'avoid']"
310,What should you do to prepare for a run?,"['run', 'prepare']"
311,You neck comes out of where?,"['neck', 'comes']"
312,What happens many times while chatting with friends?,"['chatting', 'friends', 'happens', 'times']"
313,The compressor coil was dirty so what wouldn't work?,"['compressor', 'coil', 'dirty', 'work', 'wouldn']"
314,You might store your leotard in the locker room here.,"['leotard', 'locker', 'room', 'store']"
315,"The service technician grossly overcharged, but the customer didn't know how to fix the air conditioning of his what?","['customer', 'overcharged', 'technician', 'service', 'fix']"
316,Most of the yards are filled with grass in what glove-shaped state?,"['grass', 'yards', 'glove', 'state', 'shaped']"
317,The company refused to do repairs.  They felt that the cost of fixing the bridge would exceed what.,"['bridge', 'repairs', 'refused', 'company', 'fixing']"
318,"Death was permanent for me, so how long did it occur?","['death', 'long', 'permanent', 'occur', 'did']"
319,Someone who enjoys giving assistance is likely to be known for what?,"['assistance', 'giving', 'known', 'enjoys', 'likely']"
320,"If someone spent the night drinking alcohol in Boston, they might wake up with what kind of headache?","['headache', 'alcohol', 'drinking', 'boston', 'wake']"
321,"A fox is walking around New England, where is a likely place it could be found?","['fox', 'england', 'place', 'walking', 'new']"
322,"Smoke isn't good for the body, it's basically a slow way to do what?","['smoke', 'slow', 'body', 'basically', 'isn']"
323,"It seems everybody crucifying the man have forgotten the basics of the system, all people are supposed to be assumed what?","['crucifying', 'assumed', 'everybody', 'people', 'supposed']"
324,"The knife was advertised as being always sharp, but obviously regular use will make anything what?","['sharp', 'knife', 'regular', 'use', 'make']"
325,"Unfortunately he suffered a mortal wound, he was one of many lost in the what?","['suffered', 'wound', 'lost', 'mortal', 'unfortunately']"
326,Jamie is a cowboy.  He owns a horse.  What might the horse do when he digs his boots into the horse's side.,"['horse', 'cowboy', 'boots', 'jamie', 'digs']"
327,How might someone avoid boredom?,"['boredom', 'avoid']"
328,What emotional response would be elicited from listening to others try to convince you about the efficacy of something which you do not care about?,"['convince', 'efficacy', 'emotional', 'listening', 'elicited']"
329,Where would find most of a country's major industry?,"['industry', 'country', 'major']"
330,"When you work out and get hot you need some cooling off afterwards, in the meantime the body gets a head start by what?","['cooling', 'body', 'head', 'work', 'meantime']"
331,Where would you step on a tile?,"['tile', 'step']"
332,"I bought an upright piano, but my mother says not to leave it outside, where should it put it?","['outside', 'piano', 'upright', 'mother', 'leave']"
333,Where would you find a toy soldier that is not being played with?,"['soldier', 'toy', 'played']"
334,You need a like source to enjoy what communication item?,"['communication', 'need', 'like', 'item', 'source']"
335,The separate areas in your house are called what?,"['areas', 'house', 'separate', 'called']"
336,What is the closest place where you could borrow a pen?,"['pen', 'borrow', 'place', 'closest']"
337,"Jill is at a shopping complex surrounded by traffic and large cities, where is she?","['jill', 'shopping', 'cities', 'traffic', 'surrounded']"
338,What state is likely to have an abundance of air conditioners?,"['state', 'air', 'conditioners', 'abundance', 'likely']"
339,Beaver went to school near DC and went for a vacation in Canada.  During his vacation he bought many souvenirs. What is something he might have bought?,"['beaver', 'souvenirs', 'vacation', 'canada', 'school']"
340,Where would you install a security system?,"['security', 'install']"
341,What holds a cigarette being lit?,"['cigarette', 'holds', 'lit']"
342,What does someone have for a lead person playing guitar who is attractive?,"['guitar', 'attractive', 'person', 'playing', 'lead']"
343,"He expected a happy life, but when he was subjected to hardship over and over again, what did he feel?","['hardship', 'life', 'subjected', 'feel', 'happy']"
344,Where do humans gather for sports?,"['sports', 'gather', 'humans']"
345,Where is the most powerful light source?,"['light', 'powerful', 'source']"
346,"They loved reproducing the night with their friends every year, it was the most what thing most of them do?","['reproducing', 'friends', 'year', 'night', 'thing']"
347,"the trainee had been climbing ladders all day and passed the test, when he got home he collapsed on the couch from what?","['trainee', 'ladders', 'climbing', 'collapsed', 'couch']"
348,The kids were all in the playroom when the parents came to pick their children up from where?,"['playroom', 'children', 'kids', 'parents', 'came']"
349,Running when you're out of shape can easily lead to something that might be distressing and uncomfortable.  What can it lead to.,"['running', 'uncomfortable', 'distressing', 'shape', 'easily']"
350,The central passage of what leads to an area where a person of royal birth is put to rest?,"['birth', 'royal', 'passage', 'central', 'area']"
351,What does a person want to do by working?,"['working', 'want', 'person', 'does']"
352,How does one start the process of procreate?,"['procreate', 'start', 'process', 'does']"
353,To be successful while performing what must you do?,"['performing', 'successful']"
354,What type of chair has a rung?,"['chair', 'rung', 'type']"
355,What does someone experience when they discovering truth that is sad?,"['discovering', 'sad', 'truth', 'experience', 'does']"
356,Where kind of structure are you in if there is a fancy chandelier next to a staircase?,"['chandelier', 'staircase', 'structure', 'fancy', 'kind']"
357,Asking and answering questions is essential for a lively what?,"['answering', 'questions', 'lively', 'asking', 'essential']"
358,Sally was writing a program in basic.  It wouldn't complete or stop.  It was stuck in what?,"['program', 'basic', 'writing', 'stuck', 'sally']"
359,"She bought a home alarm to try to feel safe, but she still felt vulnerable and what of herself?","['alarm', 'vulnerable', 'safe', 'home', 'felt']"
360,Joe stood in front of the backdrop and watched as the hands prepared the what?,"['joe', 'backdrop', 'stood', 'hands', 'prepared']"
361,"The trucks transporting the fruit had refrigerated trailers, this was to help do what to the produce?","['fruit', 'refrigerated', 'produce', 'transporting', 'trucks']"
362,It's important to keep your software current or the security features may be what?,"['security', 'features', 'software', 'important', 'current']"
363,"If a baby is typical, what does it not do?","['baby', 'typical', 'does']"
364,What do you have to be to pass class?,"['class', 'pass']"
365,What might prolonged kissing lead to?,"['kissing', 'prolonged', 'lead']"
366,Where might a horse wander around?,"['horse', 'wander']"
367,"The lady sought enlightenment and belonging, where did he go?","['enlightenment', 'lady', 'belonging', 'sought', 'did']"
368,"A person wanting to be successful needs to work on many things, the most important of which is having high what?","['successful', 'high', 'work', 'needs', 'important']"
369,In order to have a hot lunch what do you need to do first?,"['lunch', 'order', 'hot', 'need']"
370,James did a research report on reading books. It is one of the oldest forms of what?,"['books', 'reading', 'research', 'james', 'oldest']"
371,What place might have a lot of trash that is not supposed to be there?,"['trash', 'place', 'lot', 'supposed']"
372,How can a student learn about a marmot?,"['marmot', 'learn', 'student']"
373,What may a person get to help them feel respected?,"['respected', 'feel', 'person', 'help']"
374,Danny liked to watch birds.  Most birds have an organ that they use to eat.  What is this organ called?,"['organ', 'birds', 'danny', 'eat', 'called']"
375,What does someone have the most of if they lost someone and are resentful?,"['resentful', 'lost', 'does']"
376,Where do you usually receive a bill at the end of your experience?,"['receive', 'usually', 'experience', 'end']"
377,John was meeting a friend who had a depressing day.  What did he want to do to her?,"['john', 'depressing', 'friend', 'meeting', 'day']"
378,If you exercise to intensely what can happen?,"['exercise', 'intensely', 'happen']"
379,What will a student do after graduating college?,"['graduating', 'college', 'student']"
380,There are four main artery in the what?,"['artery', 'main']"
381,How might someone be going to market?,"['market', 'going']"
382,What does exercise usually hope to improve?,"['exercise', 'improve', 'hope', 'does', 'usually']"
383,WHen do most people pray even when note religious?,"['religious', 'pray', 'people', 'note']"
384,Where in South Asia can you find a temple?,"['asia', 'temple', 'south']"
385,"James didn't like Whoppers, but he still wanted hamburgers.  What type of place might he go to?","['whoppers', 'hamburgers', 'james', 'place', 'type']"
386,What is it called when snow falls fast enough to obscure vison?,"['snow', 'falls', 'vison', 'fast', 'obscure']"
387,What's one of the things you do a lot while attending school?,"['school', 'attending', 'things', 'lot']"
388,"James looked around the showroom but didn't see anything he liked.  The salesman talked him into trying some things, though.  He felt that he shouldn't have come to this place.  Where is he?","['james', 'showroom', 'salesman', 'looked', 'place']"
389,"John loved visiting the museum.  He spent his time considering what the paintings represented.   He didn't understand all of them, but he did a lot of what?","['paintings', 'museum', 'john', 'visiting', 'understand']"
390,"James had to use the bathroom, but he couldn't do it in a place he wasn't familiar with or in a public place. So he  waited until he got back to his what?","['bathroom', 'james', 'waited', 'place', 'public']"
391,Where do you cook the pie?,"['pie', 'cook']"
392,What is a fun thing to do when you get too hot on a hike?,"['hike', 'fun', 'hot', 'thing']"
393,"When you get a second chance to live life, an opportunity was what to you?","['opportunity', 'life', 'chance', 'live', 'second']"
394,"Bring home fish, clean it, and then you you eat it. What is missing that you have done to it?","['fish', 'clean', 'missing', 'eat', 'bring']"
395,Water flows through what when not above ground?,"['water', 'flows', 'ground']"
396,"The roof was sagging and leaking, one could say it was in a what?","['roof', 'leaking', 'sagging', 'say']"
397,"If you were eating dinner and then you ran to a toilet, what is most likely to happen?","['toilet', 'dinner', 'eating', 'ran', 'happen']"
398,Where can you see their performance?,['performance']
399,There are many semi-wild animals at this place.  What might this place be?,"['place', 'animals', 'wild', 'semi']"
400,"A human is hitch hiking in Lousiana, where is he likely heading?","['lousiana', 'hitch', 'hiking', 'heading', 'likely']"
401,What type of place has very expensive wine in their wine cellar?,"['wine', 'cellar', 'place', 'expensive', 'type']"
402,Where could you get something from a company?,['company']
403,Billy wanted a new puppy to bring back to his place.  Where might he find one?,"['billy', 'puppy', 'place', 'bring', 'new']"
404,Where is a cymbal likely to be used in a finale?,"['cymbal', 'finale', 'used', 'likely']"
405,Men and women go out dancing hoping to find someone to do what with?,"['dancing', 'men', 'women', 'hoping']"
406,What could cause friends to all have the same opinion about something?,"['friends', 'opinion', 'cause']"
407,What would happen if you are expressing yourself illegally?,"['illegally', 'expressing', 'happen']"
408,"The nearsighted man could tell the object took a form, but largely what did he notice about it?","['nearsighted', 'object', 'form', 'notice', 'did']"
409,Where is a surface where cats usually touch daily?,"['cats', 'surface', 'touch', 'daily', 'usually']"
410,"The barber shop was always busy due to foot traffic, where was it located?","['barber', 'located', 'shop', 'traffic', 'busy']"
411,"John loved wrestling with big sweaty men.  He was very skilled at it, and was thrilled when he pinned them to the mat.  What did John receive when he pinned people to the mat?","['mat', 'wrestling', 'pinned', 'john', 'sweaty']"
412,Where at your yard would you store a large container?,"['container', 'yard', 'store', 'large']"
413,What is the probability that a remote will turn on the TV?,"['remote', 'probability', 'tv', 'turn']"
414,Where would you use a changing room along side many types of products for sale?,"['room', 'products', 'changing', 'sale', 'types']"
415,"On a long, hard, winter day Joe felt warm water on his face.  It took him a few minutes to realize that the water was coming from him.  They were what?","['water', 'winter', 'joe', 'warm', 'felt']"
416,"The showroom had all sorts of booths.  He was glad he went to the convention, even if it was all the way in what location?","['showroom', 'booths', 'location', 'convention', 'went']"
417,Where are you most likely to be using a condom?,"['condom', 'using', 'likely']"
418,When you're paying with cash and not using bills you'd be using what?,"['cash', 'bills', 'paying', 'using']"
419,"The forecast called for freezing rain and ice, needless to say it would be what?","['rain', 'forecast', 'ice', 'freezing', 'needless']"
420,What will always happen when getting in line with many people?,"['people', 'line', 'getting', 'happen']"
421,"The friends were troubles, why did they hang out?","['friends', 'troubles', 'hang', 'did']"
422,What could someone make if he or she is inexperienced at making bread?,"['bread', 'making', 'make', 'inexperienced']"
423,"In times of turmoil she began praying, it brought her a serene what?","['serene', 'praying', 'turmoil', 'began', 'times']"
424,Where is a tank type weapon likely to be found?,"['weapon', 'tank', 'type', 'likely']"
425,"She was curled up on the couch to watch her show, she used both hands to what when she wanted a sip?","['hands', 'couch', 'curled', 'sip', 'watch']"
426,"On a ship a cannon is used, what is used on a plane?","['cannon', 'plane', 'ship', 'used']"
427,"Jenny enjoyed going on vacation, but she didn't do it often. She hated what came with it. What might be a consequence of a vacation?","['vacation', 'consequence', 'jenny', 'hated', 'didn']"
428,"Sally joined the army in peacetime.  There wasn't any combat, but she went many places.  Where did she go?","['sally', 'army', 'combat', 'places', 'peacetime']"
429,"It was his first marathon and he wasn't ready, running the twenty six miles caused him what?","['marathon', 'running', 'caused', 'miles', 'wasn']"
430,"After George broke his leg, George's best friend, Tim, gave him the biggest gift box that could be found.   How might George's response be described respond?","['george', 'gift', 'response', 'tim', 'box']"
431,"If an animal is in the wild, what is its prime directive?","['animal', 'directive', 'wild', 'prime']"
432,"James wants to talk to people, but he can't because he lacks people.  What might people do when someone talks?","['talk', 'talks', 'james', 'people', 'lacks']"
433,"Where would you go if you want to get some bread and ice cream, but nothing else?","['bread', 'cream', 'ice', 'want']"
434,"It was a long and dusty thoroughfare, but it passed peacefully through some beautiful what?","['thoroughfare', 'peacefully', 'dusty', 'long', 'passed']"
435,What does a female flea do after it mates?,"['flea', 'female', 'mates', 'does']"
436,"Not all astronauts are pilots, but as a pilot is to aircraft an astronaut is to what?","['astronauts', 'astronaut', 'pilots', 'pilot', 'aircraft']"
437,"Sam was a servant of Josh.  He pledged himself to Josh years ago.  For this reason, Sam lacked what?","['sam', 'josh', 'lacked', 'servant', 'pledged']"
438,Joe's sink was clogged so he had to ask Brenda for permission to wash his dishes.  Where is he washing dishes?,"['dishes', 'washing', 'joe', 'sink', 'brenda']"
439,Where in your office would you store an extra pencil?,"['pencil', 'office', 'store', 'extra']"
440,Where is likely to have a checkout desk?,"['desk', 'checkout', 'likely']"
441,Where is a cow likely to cry?,"['cow', 'likely']"
442,"The water ran through the toilet, what is its next stop?","['toilet', 'water', 'ran', 'stop']"
443,The record spun on the turntable. What else did it do?,"['turntable', 'spun', 'record', 'did']"
444,What would you need if you did not know what a marmoset is?,"['marmoset', 'need', 'know', 'did']"
445,Where do people play baseball?,"['baseball', 'play', 'people']"
446,Bobby hated competing but his parents didn't see. He failed and they just said he should be doing what?,"['bobby', 'competing', 'parents', 'failed', 'didn']"
447,Where would you find a row of seats while watching men holding sticks and wearing pads?,"['seats', 'pads', 'row', 'sticks', 'men']"
448,What has a heart that is good to eat?,"['heart', 'eat', 'good']"
449,With what would you see a soprano doing the exact same performance multiple times?,"['soprano', 'performance', 'multiple', 'times', 'exact']"
450,What would you pick up with a spoon,"['spoon', 'pick']"
451,From where would you take a magazine home without paying?,"['magazine', 'home', 'paying']"
452,Where can you a letter opener and a document shredder?,"['shredder', 'opener', 'letter', 'document']"
453,"The ranch house was build in a gated community, where was it located?","['ranch', 'house', 'gated', 'located', 'community']"
454,What is a reason that you should be careful when using a candle?,"['candle', 'careful', 'reason', 'using']"
455,Why do I need air conditioning in the summer?,"['summer', 'air', 'conditioning', 'need']"
456,"Space objects need something to travel, what is it?","['space', 'travel', 'objects', 'need']"
457,Where would you put coal if you do not want to give anything else to someone?,"['coal', 'want']"
458,What should a person do before talking?,"['talking', 'person']"
459,What could happen if you are not good at driving a car?,"['driving', 'car', 'happen', 'good']"
460,Where do people sit in a chair to pray?,"['chair', 'sit', 'pray', 'people']"
461,"The man was walking many miles a day despite not enjoying it, what was his goal?","['walking', 'miles', 'enjoying', 'goal', 'despite']"
462,The man told the people the time for deliberation was over and they must what?,"['deliberation', 'time', 'people', 'man', 'told']"
463,"A person is working, why is he doing that?","['working', 'person', 'doing']"
464,What does the sun do that allows everything to be seen clearly?,"['sun', 'clearly', 'does', 'allows', 'seen']"
465,"The volunteer had been working very hard, the boss noticed and decided to offer him a what?","['volunteer', 'boss', 'working', 'noticed', 'hard']"
466,"The soldier was listening intently, what was he achieving?","['soldier', 'listening', 'intently', 'achieving']"
467,Why is fresh food harder to get in the winter?,"['winter', 'food', 'fresh', 'harder']"
468,Where is someone likely to keep a cardboard box?,"['cardboard', 'box', 'likely']"
469,"She had to run errands, she wrote a list of them so she could mark off each time she what?","['errands', 'list', 'mark', 'run', 'wrote']"
470,"The group thought the were changing society, but in all honesty they didn't even have a full what of the issue?","['society', 'group', 'issue', 'changing', 'didn']"
471,What would a kid who is going to play not want to do?,"['play', 'kid', 'want', 'going']"
472,An android wants to become human in a place where the water quality is questionable.  Where is this place?,"['place', 'water', 'android', 'human', 'quality']"
473,In what state of being are you most likely to see a monkey?,"['monkey', 'state', 'likely']"
474,Glass is used to build these so you can see outside.,"['glass', 'outside', 'build', 'used']"
475,What negative effect can happen when you are buying products that are dangerous and then use the products by yourself?,"['products', 'dangerous', 'use', 'buying', 'effect']"
476,What could happen to you after cleaning for a long time?,"['cleaning', 'time', 'long', 'happen']"
477,Where would a computer user use someone else's computer?,"['computer', 'user', 'use']"
478,"Where could you find a toilet a large number of people use, but that would require permission to use?","['toilet', 'permission', 'people', 'require', 'use']"
479,Where is one likely to find a tennis court?,"['tennis', 'court', 'likely']"
480,John felt that there was an anaconda snake in his room.  He thought it slithered over him.   It was huge.  But when he turned on the lights there was no snake.  It was only what?,"['snake', 'anaconda', 'slithered', 'john', 'room']"
481,Where should you take your jeans if you can't clean them at home?,"['jeans', 'clean', 'home']"
482,"When people are hot and seeking a cold treat, what do they do?","['cold', 'people', 'treat', 'hot', 'seeking']"
483,"If somebody just bought a new car, they might keep the title secure in a what?","['car', 'title', 'secure', 'new', 'somebody']"
484,What are found at every bus station that show you how to get around?,"['bus', 'station']"
485,What is likely to be full of small grids?,"['grids', 'small', 'likely']"
486,What is orange juice often kept in?,"['juice', 'orange', 'kept']"
487,Where can you buy a can of soda while at a highway rest stop?,"['soda', 'highway', 'rest', 'buy', 'stop']"
488,Why are children scared of going to bed?,"['children', 'bed', 'scared', 'going']"
489,"She enjoyed relaxing and being taken away into another world, she spent a lot of time doing what?","['relaxing', 'world', 'away', 'time', 'enjoyed']"
490,What happens when cashing in a lot of chips at a casino?,"['casino', 'cashing', 'chips', 'lot', 'happens']"
491,"You're like to find a gazelle in Africa or Asia, both of which are where?","['gazelle', 'africa', 'asia', 'like']"
492,"My boss is a messy man, where does he carelessly toss all of his junk mail?","['mail', 'messy', 'boss', 'carelessly', 'junk']"
493,Where would a hooker give services?,"['hooker', 'services']"
494,"The paper towels are sometimes kept in the office, where did the dad look for them?","['towels', 'paper', 'dad', 'office', 'look']"
495,If you're standing in line for a long time what will you likely experience?,"['line', 'standing', 'long', 'experience', 'time']"
496,Where is an unused garden hose likely stored?,"['hose', 'stored', 'unused', 'garden', 'likely']"
497,Where can someone get a sweater on sale?,"['sweater', 'sale']"
498,The mechanic has many tools at his?,"['mechanic', 'tools']"
499,Mandy had an affair with Chris while wed  to Robert.  Mandy broke her promise of what?,"['mandy', 'affair', 'chris', 'robert', 'promise']"
500,When you're working for someone else what should you expect?,"['expect', 'working']"
501,"The reporter was set on discovering truth, he tracked down leads and kept what?","['reporter', 'discovering', 'truth', 'leads', 'tracked']"
502,"He believed in competing honestly, being humble in victory and gracious in what?","['competing', 'victory', 'humble', 'believed', 'gracious']"
503,Where would I put some chocolate after buying it?,"['chocolate', 'buying']"
504,If people start going the wrong way what must they do?,"['people', 'wrong', 'start', 'going', 'way']"
505,"The rescue was very difficult, but id led to what?","['rescue', 'id', 'difficult', 'led']"
506,The fruit of an apple tree becomes ripe when?,"['fruit', 'ripe', 'tree', 'apple']"
507,"He thought of his recovering sick mother and began praying, he hoped that she was what?","['praying', 'mother', 'recovering', 'hoped', 'began']"
508,What is a common emotion that takes place during a date at a skate rink?,"['skate', 'rink', 'date', 'emotion', 'common']"
509,Where could you find out how to use a chess board?,"['board', 'chess', 'use']"
510,What would happen to flowers if they are watered?,"['watered', 'flowers', 'happen']"
511,What is constantly judging others likely to lead to?,"['judging', 'constantly', 'likely', 'lead']"
512,"A new beauty salon had just opened up in her what, so she decided to walk over and check it out?","['salon', 'beauty', 'new', 'walk', 'opened']"
513,Visiting museum that is a memorial to war made the person appreciate what?,"['museum', 'memorial', 'war', 'visiting', 'person']"
514,In the shower many find happiness with what activity?,"['shower', 'happiness', 'activity']"
515,"When the dad discovered the killing of his son, what did he feel?","['dad', 'son', 'killing', 'feel', 'discovered']"
516,If you use too much water when preparing nourishment what may you end up with?,"['water', 'nourishment', 'preparing', 'use', 'end']"
517,Where would you find a trunk containing a spare blanket or pillow?,"['blanket', 'trunk', 'spare', 'pillow', 'containing']"
518,What do most adults have to do?,['adults']
519,"Joe enjoyed playing chess, but he was not a master.  He lost often.  This taught him something. What did it teach him?","['chess', 'joe', 'taught', 'teach', 'playing']"
520,Why do people think dogs are so smart?,"['dogs', 'smart', 'think', 'people']"
521,Where do you have someone who is always refilling your cup?,"['refilling', 'cup']"
522,"Love, like justice, can be said to be what?","['justice', 'love', 'like', 'said']"
523,Why is a person not hungry?,"['hungry', 'person']"
524,What does standing in line for a long time lead to?,"['line', 'standing', 'long', 'time', 'lead']"
525,"The instructor was teaching dance, she started the class turning on music and telling everybody to just start what?","['dance', 'class', 'music', 'instructor', 'teaching']"
526,Where are villages typically located?,"['villages', 'located', 'typically']"
527,"After she finished washing clothes, what did the woman do with them?","['washing', 'clothes', 'woman', 'finished', 'did']"
528,Where can you find more than one table?,['table']
529,Why do people traveling from one place to another and bring bed and other furniture with them?,"['traveling', 'furniture', 'bed', 'people', 'bring']"
530,"The service was incredibly slow, he used the toilet twice during the what for his order where?","['toilet', 'service', 'order', 'slow', 'twice']"
531,There is a lot of noise in what group of people's homes and businesses?,"['noise', 'businesses', 'people', 'homes', 'group']"
532,What is a harpsichord likely to be a part of?,"['harpsichord', 'likely']"
533,Getting up early is about the only way you're going to be able to get what on a project?,"['project', 'early', 'getting', 'way', 'going']"
534,Where would you find the icebox in your home?,"['icebox', 'home']"
535,Danny was great at socializing.  He found it easy to do what?,"['socializing', 'danny', 'easy', 'great']"
536,"What can I put water in, for drinking?","['water', 'drinking']"
537,What happens to someone after being caught killing people?,"['killing', 'caught', 'people', 'happens']"
538,Where is a good place for a bureau?,"['bureau', 'place', 'good']"
539,How do kids form ideas about unknown things?,"['kids', 'ideas', 'things', 'unknown', 'form']"
540,What do most people have that help them to read?,"['read', 'people', 'help']"
541,"If a dog is very active, it gets around a lot on what?","['dog', 'active', 'lot', 'gets']"
542,Vance wanted to buy a big ficus.  Where might he have looked for one?,"['ficus', 'vance', 'looked', 'buy', 'big']"
543,"The shark got stuck in the sand, where was he?","['shark', 'sand', 'stuck', 'got']"
544,"Gasoline is a polluting way of moving car, many hope to replace it one day with a cleaner what?","['polluting', 'gasoline', 'car', 'cleaner', 'moving']"
545,WHere are most office buildings located?,"['buildings', 'office', 'located']"
546,"A city is surrounded by lots of different countries within a few hours drive, where is it located?","['countries', 'city', 'located', 'surrounded', 'drive']"
547,"I am Weasel could talk.  Since most weasels can't talk, he was probably what sort of thing?","['weasel', 'weasels', 'talk', 'thing', 'probably']"
548,"If a dog escaped from your property, where would be the closest place to look?","['dog', 'escaped', 'place', 'closest', 'look']"
549,What will someone have to do once they have began to start a family?,"['family', 'start', 'began']"
550,"When James was passing sentence on the killer, he took into account something about the survivors.  What might James have taken into account?","['james', 'survivors', 'sentence', 'killer', 'passing']"
551,"The protest was peaceful, but what did it become after someone started throwing rocks?","['protest', 'peaceful', 'rocks', 'throwing', 'started']"
552,Where would you put some pennies if you do not plan to use them soon?,"['pennies', 'plan', 'use', 'soon']"
553,"The odd things kept happening to him that day, their happenings became what?","['happenings', 'things', 'odd', 'day', 'happening']"
554,Where are you if you go up a staircase before hearing a lecture?,"['staircase', 'lecture', 'hearing']"
555,What does learning accomplish?,"['learning', 'accomplish', 'does']"
556,"The person used a sponge, what were they trying to do?","['sponge', 'person', 'used', 'trying']"
557,Where can litter ruin your bbq or Frisbee game?,"['litter', 'frisbee', 'bbq', 'ruin', 'game']"
558,Where can you find a younger woman in a rocking chair?,"['chair', 'rocking', 'woman', 'younger']"
559,Where would you hear a french horn play?,"['horn', 'french', 'play', 'hear']"
560,What might someone do to rights to stop someone from feeling empowered?,"['empowered', 'rights', 'feeling', 'stop']"
561,"If a place specializes in drinks that requier a decanter, what is it unlikely to be?","['decanter', 'drinks', 'place', 'specializes', 'requier']"
562,"He was locked in a room against his will, where did he long to be?","['room', 'long', 'locked', 'did']"
563,"Passengers are walking the passageway to an airplane, where are they?","['passengers', 'airplane', 'passageway', 'walking']"
564,"Ever since he got with his girlfriend he slowly lost all his friends, she was now his only what?","['girlfriend', 'friends', 'lost', 'slowly', 'got']"
565,What do you have to do while you're at work?,['work']
566,"If you have to bend over frequently while doing housework, what are you likely to experience?","['housework', 'bend', 'frequently', 'doing', 'likely']"
567,Where can you buy a bullet?,"['bullet', 'buy']"
568,Talking in front of a class means you are delivering a?,"['class', 'talking', 'delivering', 'means']"
569,"The person spent more money than he had, what is the result?","['spent', 'money', 'result', 'person']"
570,What is the spine a part of in the human body?,"['spine', 'body', 'human']"
571,What can a player do after reaching a tentative agreement?,"['tentative', 'player', 'agreement', 'reaching']"
572,"If you see a marmot on a flat plain, you're probably where?","['marmot', 'flat', 'plain', 'probably']"
573,What is the opposite of mountain?,"['mountain', 'opposite']"
574,What is the best result of having a heart attack?,"['heart', 'attack', 'result', 'having', 'best']"
575,"After surgery the lady was resting, it was part of her what?","['surgery', 'lady', 'resting']"
576,How does a person begin to attract another person for reproducing?,"['reproducing', 'attract', 'person', 'begin', 'does']"
577,How are plants able to take water and nutrients from the soil?,"['plants', 'nutrients', 'soil', 'water', 'able']"
578,"If someone is in a southern state and watching a game at a baseball field, what genre of music is likely playing?","['southern', 'genre', 'music', 'baseball', 'field']"
579,What's an important reason that a person looks for a job?,"['job', 'reason', 'important', 'looks', 'person']"
580,"Kids who have a modern taste in music find that their parents are a bit what, when it comes to their music tastes?","['parents', 'music', 'kids', 'modern', 'tastes']"
581,Where could there be a battle that does not involve words and is real?,"['battle', 'real', 'words', 'involve', 'does']"
582,What is the basic motivation for flying in an airplane on business?,"['business', 'airplane', 'flying', 'motivation', 'basic']"
583,"The student misspelled both words on the test, he didn't realize choose and pool had what next to each other?","['pool', 'choose', 'misspelled', 'test', 'student']"
584,Billy loved the evening.  It was his favorite part of what?,"['billy', 'evening', 'favorite', 'loved']"
585,"If someone was breathing in to their cold hands, they are using what to combat the cold?","['cold', 'hands', 'breathing', 'combat', 'using']"
586,Somebody wants to look at monument in a natural setting. Where do they go?,"['monument', 'look', 'natural', 'setting', 'wants']"
587,John walked into his surprise birthday party wearing his birthday suit.  He was sad that all of his friends saw him when he was not what?,"['birthday', 'surprise', 'party', 'john', 'suit']"
588,From where did you receive a fortune after eating a meal?,"['fortune', 'meal', 'eating', 'receive', 'did']"
589,Where can you find ketchup packets?,"['ketchup', 'packets']"
590,"The man owned a large property with a ranch house, but there wasn't much landscaping besides spiky stuff because it was located where?","['landscaping', 'ranch', 'property', 'house', 'located']"
591,How did immigrants historically head to other countries?,"['immigrants', 'countries', 'historically', 'head', 'did']"
592,Having immortality means you will not be?,"['immortality', 'means', 'having']"
593,"I was having a bath after a day at a construction site, what am I aiming for?","['bath', 'construction', 'having', 'day', 'site']"
594,What should you do before and after play sports?,"['sports', 'play']"
595,Where could a marmot walk from one continent to another?,"['marmot', 'continent', 'walk']"
596,where do students typically make friends?,"['friends', 'students', 'typically', 'make']"
