,question.stem,keywords,answer
288,"The man flew his airplane over the city and saw pollution visibly in the sky, what was polluted?","['polluted', 'pollution', 'airplane', 'city', 'flew']",air
289,What is a very unlikely side effect of becoming inebriated?,"['inebriated', 'effect', 'unlikely']",paralysis
290,when communicating with my boss what should i do,"['boss', 'communicating']",transfer of information
291,If not in a stream but in a market where will you find fish?,"['fish', 'market', 'stream']",refrigerator
292,What are people likely to want to do with their friends?,"['friends', 'people', 'want', 'likely']",spend time
293,During a shark filled tornado where should you not be?,"['tornado', 'shark', 'filled']",outside
294,What is the likely result of buying products in excess?,"['excess', 'products', 'buying', 'result', 'likely']",overstocking
295,What is a person trying to accomplish when taking analgesics?,"['analgesics', 'taking', 'accomplish', 'trying', 'person']",avoid pain
296,Where would you put a glass after drinking from it?,"['glass', 'drinking']",dishwasher
297,Where would you buy food?,"['food', 'buy']",store
298,"When a person admits his mistakes, what are they doing?","['mistakes', 'admits', 'doing', 'person']",act responsibly
299,Where do play a game for money?,"['play', 'game', 'money']",casino
300,When you travel you should what in case of unexpected costs?,"['travel', 'costs', 'unexpected', 'case']",have money
301,"Donald is a prominent figure for the federal government, so in what city does he likely spend a lot of time?","['donald', 'city', 'federal', 'government', 'prominent']",washington d.c
302,"There was more than one bum asking for change or a ticket, it was the cheapest way to travel so it was no surprise sight at the what?","['ticket', 'surprise', 'bum', 'travel', 'asking']",bus depot
303,John and Joe like planning games but Joe  was hit by a ball and fell down. What might have happened to Joe.,"['joe', 'fell', 'john', 'ball', 'hit']",injury
304,Where can you buy jeans at one of may indoor merchants?,"['jeans', 'merchants', 'indoor', 'buy']",shopping mall
305,What do you write letter in in America?,"['letter', 'write', 'america']",english alphabet
306,Joe owned back taxes as well as what other type of taxes?,"['taxes', 'joe', 'owned', 'type']",current
307,Where is a broadcast studio likely to be heard?,"['broadcast', 'studio', 'heard', 'likely']",radio station
308,Kramer wrote a self-referential book.  What might that book be about?,"['kramer', 'book', 'referential', 'self', 'wrote']",coffee table
309,"Of all the sports, Billy enjoys football, but what does his concerned mother think of the sport?","['football', 'billy', 'sport', 'sports', 'mother']",violent
310,What city will likely have many parking structures?,"['parking', 'city', 'structures', 'likely']",chicago
311,Sally was afraid of danger and always double checked what?,"['sally', 'danger', 'afraid', 'double', 'checked']",safety
312,What is the habitat of the fox?,"['fox', 'habitat']",mountains
313,"People are very much like the animals, but one thing has secured or dominance over the planet.  We're better at doing what?","['dominance', 'animals', 'people', 'thing', 'planet']",make tools
314,"They children loved having a back yard, and the parents loved that it was a safe what?","['yard', 'children', 'parents', 'safe', 'having']",neighborhood
315,"While people just throw coins down them now, what originally had a pail to be lowered for it's intended use?","['pail', 'coins', 'people', 'lowered', 'throw']",wishing well
316,Joe was thrown from his boat into the water.  The water was cold because it was the middle of winter and he cried out to his crew for help.  They couldn't hear him over the sound of the what?,"['joe', 'sound', 'boat', 'winter', 'cold']",typhoon
317,"When a human is earning money, where are they often found?","['earning', 'money', 'human']",
318,"They passed a apple tree on their way to the racetrack, the were going to watch the biggest motorsport spectacle in the world where?","['racetrack', 'motorsport', 'tree', 'spectacle', 'apple']",indiana
319,Why do people play chess on the weekends?,"['chess', 'weekends', 'play', 'people']",have fun
320,What do you need energy to do in gym class?,"['gym', 'energy', 'class', 'need']",play sports
321,Sarah dropped the marble because she wanted to do what?,"['marble', 'sarah', 'dropped', 'wanted']",game
322,"We are all human, and we all what?",['human'],die
323,"If a person were going to bed, what would be their goal?","['bed', 'goal', 'person', 'going']",falling asleep
324,What are candles good for eliminating?,"['candles', 'eliminating', 'good']",dark
325,WHat leads to an early death?,"['death', 'early', 'leads']",homicide
326,What room would you find many bookcases and is used for contemplation?,"['bookcases', 'room', 'contemplation', 'used']",study
327,Where do you head to travel to a star?,"['star', 'travel', 'head']",outer space
328,"The player lifted his cornet and walked in rhythm, what was the player a member of?","['cornet', 'player', 'rhythm', 'member', 'walked']",marching band
329,What happens at soon as a living being is born?,"['born', 'living', 'soon', 'happens']",growing older
330,"When someone is talking and you missed something, what can you do to get them to repeat it?","['repeat', 'talking', 'missed']",ask question
331,Where does one store fabric in their own home?,"['fabric', 'store', 'home', 'does']",sewing room
332,What do most companies not want to have relative to demand?,"['demand', 'companies', 'want', 'relative']",oversupply
333,What is happening while he's playing basketball for such a long time?,"['basketball', 'playing', 'long', 'time', 'happening']",sweating
334,A traveler laments the fact that mass transit is limited in his city when his groceries get soaked by the rain as he waits where?,"['transit', 'rain', 'groceries', 'city', 'traveler']",bus stop
335,"The person was in physical distress, where should he go?","['distress', 'person', 'physical']",hospital
336,"The cancer patient was expecting to die, so he made out his what?","['cancer', 'patient', 'die', 'expecting']",write will
337,"There was a toll road that meandered from Maine to New Hampshire, where was it?","['toll', 'maine', 'hampshire', 'road', 'meandered']",new england
338,"If you partied all night you could find yourself already what, even when just beginning work?","['partied', 'work', 'night', 'beginning', 'just']",getting tired
339,"The cat carefully navigated the area, they do everything they can to avoid what?","['cat', 'navigated', 'carefully', 'avoid', 'area']",get wet
340,What is someone usually doing if someone else is talking to him or her?,"['talking', 'usually', 'doing']",listening
341,What does the sky do before a rain?,"['rain', 'sky', 'does']",cloud over
342,"Pens, computers, text books and paper clips can all be found where?","['paper', 'computers', 'books', 'pens', 'clips']",university
343,What geographic area is a lizard likely to be?,"['lizard', 'geographic', 'area', 'likely']",west texas
344,What do you use to carry your briefcase?,"['briefcase', 'carry', 'use']",hand
345,"He picked up his pace to a run, he wanted to do what?","['run', 'pace', 'picked', 'wanted']",go faster
346,What would a person do if they do not have any friends?,"['friends', 'person']",stand alone
347,"As a result of dying, what happens to organic material?","['dying', 'organic', 'material', 'happens', 'result']",death and decay
348,What does everyone have in relation to other people?,"['relation', 'people', 'does']",feelings
349,What do you ask a child to do when you first meet her?,"['child', 'ask', 'meet']",state name
350,"Where can you buy a clock, clothing and wrenches?","['wrenches', 'clothing', 'clock', 'buy']",department store
351,What do you do when you're in a new place and want to see new things?,"['new', 'place', 'things', 'want']",look around
352,What happens when to ice when it is in the sun?,"['ice', 'sun', 'happens']",melted
353,Where can you store your dishes in your dwelling?,"['dishes', 'dwelling', 'store']",shelf
354,"The man laid on the soft moss and looked up at the trees, where was the man?","['trees', 'moss', 'looked', 'soft', 'laid']",forest
355,What is someone doing if he or she is sitting quietly and his or her eyes are moving?,"['sitting', 'eyes', 'quietly', 'moving', 'doing']",reading
356,Where can I find a stapler in many places?,"['stapler', 'places']",office building
357,"A man takes a seat at a museum outside of Barcelona, where is he likely?","['barcelona', 'museum', 'outside', 'seat', 'likely']",martorell
358,Where would you find a toy soldier that is being played with?,"['toy', 'soldier', 'played']",
359,Where are you when you're about to use your plane ticket?,"['plane', 'ticket', 'use']",airport
360,"Flowers make a good center focal point, just one of many arrangements that look good on a what?","['flowers', 'arrangements', 'center', 'focal', 'point']",table
361,How can a human cross a river and not mess up their hair?,"['hair', 'river', 'cross', 'human', 'mess']",bridge
362,Batman bought beer.  There were no bottles available.  He had to settle for what?.,"['batman', 'beer', 'bottles', 'settle', 'available']",can
363,You can find a monkey in what West African region on the Gulf of Guinea,"['monkey', 'guinea', 'african', 'gulf', 'region']",nigeria
364,Surprising an angry person could lead to what?,"['angry', 'surprising', 'person', 'lead']",fight
365,Where is a dining area likely to be small?,"['dining', 'area', 'small', 'likely']",home
366,Killing people should not cause what emotion?,"['emotion', 'killing', 'people', 'cause']",joy
367,"James slamed into someone playing football, and not for the first time.  He was concerned about the consequences of many what?","['james', 'consequences', 'football', 'playing', 'slamed']",head injuries
368,"More people should lower the guard and just have fun, we don't got long just what?","['guard', 'fun', 'people', 'long', 'lower']",enjoy living
369,Where can you get a lizard to keep in your home?,"['lizard', 'home']",pet shop
370,What would use a musical instrument?,"['instrument', 'musical', 'use']",orchestra
371,"She was in an affair, what did that end upon discovery by her husband?","['affair', 'discovery', 'husband', 'end', 'did']",marriage
372,What is the most famous constellation out of earth?,"['constellation', 'earth', 'famous']",
373,"If a reception is held with hotel guests walking by, what is the likely venue?","['hotel', 'venue', 'guests', 'reception', 'walking']",lobby
374,What is a place that is far away from your house and where you could consume beer?,"['beer', 'place', 'far', 'house', 'away']",
375,"If a court case is dismissed after hearing testimony, what would be a likely cause?","['court', 'testimony', 'dismissed', 'case', 'hearing']",change of heart
376,Sitting down quickly after eating beans could lead to what?,"['beans', 'eating', 'sitting', 'quickly', 'lead']",flatulence
377,"John was my neighbor, it was easy to talk to him. He was never what?","['john', 'neighbor', 'talk', 'easy']",distant
378,Where do people want to have a lot of coffee?,"['coffee', 'people', 'lot', 'want']",office
379,"You stop and have food all around you, what are you?","['food', 'stop']",full
380,James was meeting a friend.  They had planed a slow day. They didn't want to do much.  They just wanted what?,"['james', 'meeting', 'want', 'friend', 'slow']",relaxation
381,"The car's steering seem quite loose, but he still considered purchasing it because he needed something small and what?","['steering', 'car', 'small', 'loose', 'purchasing']",compact
382,"Dan was a farmer with just one heifer.  But that was okay, he only kept her for milk, and he didn't think he'd find good farmland in a place as cold as where?","['dan', 'heifer', 'farmer', 'farmland', 'milk']",michigan
383,It's Friday night and Alice puts off going to bed because she plans on doing what Saturday?,"['alice', 'saturday', 'friday', 'bed', 'night']",sleeping in
384,"His phone was dead and they couldn't find the expressway, he opened up the glove compartment and handed his passenger the what to navigate?","['passenger', 'expressway', 'navigate', 'handed', 'phone']",map
385,What would someone use a personal key for?,"['key', 'personal', 'use']",own home
386,"The cat kept pestering it's owner, it was that time of the day and it was what?","['cat', 'pestering', 'day', 'time', 'owner']",hungry
387,"Her voice lent her to the alto section, what group did she join?","['alto', 'group', 'voice', 'join', 'section']",choir
388,Where are you likely to find a Japanese restaurant not run by people from Japan?,"['japan', 'restaurant', 'japanese', 'people', 'likely']",california
389,Animals who have hair and don't lay eggs are what?,"['eggs', 'animals', 'hair', 'lay', 'don']",mammals
390,John was an aristocratic fox hunter.  Where might he live?,"['john', 'fox', 'aristocratic', 'hunter', 'live']",new hampshire
391,Where is a grape likely to be being fed to someone else?,"['grape', 'fed', 'likely']",painting
392,"Some food can be stored at room temperature until you open it, then you should keep it in what?","['food', 'stored', 'temperature', 'room', 'open']",refrigerators
393,Sam couldn't get back to sleep because of a dream he had.  It was a what?,"['sam', 'dream', 'sleep', 'couldn']",nightmare
394,If you're going to a party in a new town what are you hoping to make?,"['party', 'town', 'make', 'new', 'going']",making new friends
395,How is riding a bike getting it to move?,"['bike', 'riding', 'getting']",pedalling
396,Where does one usually keep literature?,"['literature', 'usually', 'does']",shelf
397,WHat type of keyboard is made up of one or more pipe divisions?,"['keyboard', 'pipe', 'type', 'divisions']",organ
398,"The bell rang, and the congregation began to what in to the church?","['congregation', 'church', 'bell', 'rang', 'began']",funnel
399,"James needed smooth sandpaper, but instead he got what type?","['sandpaper', 'james', 'smooth', 'type', 'needed']",rough
400,Where would you borrow furniture if you do not have any?,"['furniture', 'borrow']",
401,What must happen for an animal to and it's offspring to continue livng?,"['offspring', 'animal', 'livng', 'continue', 'happen']",reproducing
402,"I want my wine stored in darkness, where should it go?","['wine', 'stored', 'darkness', 'want']",cellar
403,"If I want to open a steakhouse, what should I get first?","['steakhouse', 'want', 'open']",building
404,"Sarah didn't like to play but she didn't want to be sedentary and bored, either, so she took up what?","['sarah', 'play', 'sedentary', 'bored', 'didn']",musical
405,Joe found spiders while checking something outside.  What might that be?,"['spiders', 'joe', 'outside', 'checking']",mail box
406,What would you do if your date does not show up?,"['date', 'does']",wait for
407,What did the adult do before the job interview?,"['interview', 'job', 'adult', 'did']",dress himself
408,Most items in retail stores are what even when they are on sale?,"['retail', 'stores', 'sale', 'items']",overpriced
409,John farms anemone in what type of facility?,"['anemone', 'farms', 'john', 'facility', 'type']",nursery
410,Brawn opened the curtains so that the sun could do what?,"['curtains', 'brawn', 'sun', 'opened']",warm room
411,How might releasing energy that has built up feel?,"['energy', 'releasing', 'feel', 'built']",wonderful
412,What would you do if you have curiosity but are blind and paralyzed?,"['paralyzed', 'blind', 'curiosity']",analyse
413,Where might it be hard to get furniture to?,"['furniture', 'hard']",loft
414,A great teacher can be what when you are attending school?,"['teacher', 'school', 'attending', 'great']",inspiration
415,Where would you get jeans and other wearable items to take home with you?,"['jeans', 'home', 'items', 'wearable']",clothing store
416,In what substance do clouds float?,"['clouds', 'float', 'substance']",air
417,Where is the large area location of the empire state building?,"['area', 'building', 'empire', 'location', 'state']",new york city
418,Where do most people make coffee?,"['coffee', 'people', 'make']",kitchen
419,What kind of service is my body a part of when I'm no longer here?,"['service', 'body', 'kind', 'longer']",funeral
420,"Many people wanted to leave their country estates for row houses, what did they need to move to?","['houses', 'estates', 'row', 'country', 'leave']",city
421,Where can someone get a new saw?,"['saw', 'new']",hardware store
422,What would you do to a crime scene before asking a question?,"['crime', 'scene', 'question', 'asking']",analyse
423,"The man didn't do great in college, all his best memories were late night with his brothers at the what?","['brothers', 'memories', 'college', 'man', 'night']",fraternity house
424,In a horror movie victims usually trip when the run in order to do what in regards to the killer?,"['horror', 'victims', 'trip', 'run', 'movie']",get away from
425,"The coach decided to make a lineup change, the team's effort was suffering from what?","['lineup', 'coach', 'team', 'change', 'effort']",stagnation
426,Where would you go if you want to buy some clothes?,"['clothes', 'buy', 'want']",mall
427,Where is food likely to stay dry?,"['dry', 'food', 'likely', 'stay']",cupboard
428,What is it called when a person with mental illness is able to lead a relatively normal life?,"['illness', 'mental', 'normal', 'life', 'person']",managed
429,Where do you keep musical instrument so it doesn't get scratched?,"['instrument', 'scratched', 'musical', 'doesn']",case
430,"The woman is watching television and trying to forget her day, what is her goal?","['television', 'woman', 'watching', 'goal', 'day']",relaxation
431,"While John Candy and Dan Aykroyd didn't run into a gazelle, you'd have to go where to see one?","['gazelle', 'aykroyd', 'dan', 'candy', 'john']",great outdoors
432,When we are running what are we doing?,"['running', 'doing']",go quickly
433,It's dangerous to let pet birds free so it's better to keep them what?,"['birds', 'pet', 'dangerous', 'let', 'free']",caged in
434,"A beaver is know for building prowess, their supplies come from where?","['beaver', 'supplies', 'building', 'prowess', 'come']",wooded area
435,Zane doesn't like answering questions.  He's not good at it because he suffers from what?,"['zane', 'answering', 'suffers', 'questions', 'doesn']",confusion
436,Going public about a common problem can gain what for a celebrity?,"['celebrity', 'public', 'problem', 'common', 'gain']",wide acceptance
437,"The electricity went out and everyone was shrouded in darkness.  They all remained in their seats, because it would have been dangerous to try to find there way out.  Where mihgt they have been?","['seats', 'darkness', 'electricity', 'remained', 'shrouded']",opera
438,Where could you find hundreds of beauty salon?,"['salon', 'hundreds', 'beauty']",city
439,If it is Chrismas time what came most recently before?,"['chrismas', 'recently', 'time', 'came']",halloween
440,"If someone found out their brother was having a daughter, they would have to add a niece limb to the what?","['limb', 'niece', 'daughter', 'brother', 'having']",
441,"The criminal insisted he must do the crime to the bank teller, but she tried to convince him there were other ways in life and this was what?","['criminal', 'teller', 'crime', 'bank', 'convince']",unnecessary
442,what do you fill with ink to write?,"['ink', 'write']",fountain pen
443,"He walked into the room and had a great shock, his friends had what him?","['shock', 'room', 'friends', 'walked', 'great']",surprised
444,"He wasn't the hugging type, even when he meet friend he'd just do what?","['hugging', 'friend', 'wasn', 'meet', 'type']",handshake
445,"If you were lost you might need a map, the best place to find one on the road is at any what?","['map', 'road', 'place', 'lost', 'need']",gas station
446,Where would you put a net if you wanted to use it?,"['net', 'use', 'wanted']",fishing boat
447,Sage loved communicating  He liked doing what with his peers?,"['sage', 'communicating', 'peers', 'liked', 'loved']",exchanging ideas
448,Where would a cat snuggle up with their human?,"['snuggle', 'cat', 'human']",comfortable chair
449,What is a place that has large cable hanging overhead?,"['overhead', 'cable', 'hanging', 'place', 'large']",substation
450,Where do cars usually travel at very high speeds?,"['speeds', 'cars', 'travel', 'usually', 'high']",race track
451,What might a person be watching if they see a man with a suitcase full of money?,"['suitcase', 'money', 'watching', 'person', 'man']",movie
452,Eating breakfast in bed while seeing a homeless person shivering outside your window may cause you to what?,"['shivering', 'homeless', 'breakfast', 'eating', 'bed']",feel guilty
453,"If I put in my key and open a hinged door, where am I likely entering?","['door', 'hinged', 'entering', 'open', 'key']",own house
454,"If somebody is working at a reception desk, they are located at the front entrance of the what?","['desk', 'entrance', 'reception', 'working', 'located']",building
455,If you're reading a newspaper from another country what are you doing?,"['newspaper', 'reading', 'country', 'doing']",learning about world
456,"They wanted to recognize his accomplishment, where should they put his name?","['accomplishment', 'recognize', 'wanted']",certificate
457,What is it called when a person tends to leave things to the last minute?,"['minute', 'person', 'things', 'called', 'leave']",procrastinate
458,What will you do if you do not want to settle in one place?,"['place', 'settle', 'want']",wander
459,Where would a person live that isn't in the metro area but still has good schools?,"['schools', 'metro', 'area', 'live', 'person']",suburbs
460,"Jane works for the government as a senator, where does she spend a lot of time?","['jane', 'senator', 'government', 'lot', 'time']",capitol building
461,What is it called when two people in love have children?,"['children', 'love', 'people', 'called']",procreate
462,What did the policemen do when they heard a cry from a distance?,"['policemen', 'distance', 'heard', 'did']",help
463,"It takes ambition to complete a job, but the first step is to what?","['ambition', 'job', 'step', 'takes', 'complete']",begin work
464,Where would I not want a fox?,"['fox', 'want']",hen house
465,What type of building has the most top floor?,"['floor', 'building', 'type']",tall building
466,What do humans do to other humans after death?,"['humans', 'death']",burial
467,Where can you find a restaurant's phone number?,"['restaurant', 'number', 'phone']",yellow pages
468,What would you put coins into to make it work?,"['coins', 'work', 'make']",water fountain
469,"A patriotic guy with a camera is looking for a bald eagle, what is he likely to do with the eagle if he finds one?","['eagle', 'patriotic', 'bald', 'camera', 'finds']",photograph
470,Where can you go to use a piano in your neighborhood if you don't have one?,"['piano', 'neighborhood', 'use', 'don']",
471,Where would you get a shower curtain if you do not have one?,"['curtain', 'shower']",department store
472,Kissing is normally an activity reserved for your romantic what?,"['kissing', 'romantic', 'normally', 'activity', 'reserved']",partner
473,What does a child learn to do before school?,"['school', 'child', 'learn', 'does']",dress herself
474,"He was getting advice for the job interview, they told him when talking to the interviewer always make what?","['interviewer', 'interview', 'job', 'advice', 'talking']",eye contact
475,According to what book did an apple tree lead to the downfall of man?,"['tree', 'downfall', 'apple', 'book', 'according']",bible
476,"The neighborhood had a great sense of community, there was always a crowd at the landing of the what?","['neighborhood', 'community', 'landing', 'crowd', 'sense']",apartment building
477,What might a kind person do?,"['kind', 'person']",open doors
478,What will a person do at work?,"['work', 'person']",make money
479,John saw a fox running along the beach and was glad to be on the east coast.  Where might he have been?,"['fox', 'coast', 'john', 'beach', 'east']",south carolina
480,Name a location where you would not want to find mice.,"['mice', 'location', 'want']",attic
481,"The man started to learn jogging, what was he hoping to do?","['jogging', 'learn', 'started', 'man', 'hoping']",getting in shape
482,Where do most people turn to get information on their phones?,"['phones', 'information', 'people', 'turn']",google
483,What happens to a body after death?,"['death', 'body', 'happens']",decomposition
484,What type of non-vegetarian soup is one likely to find a potato?,"['potato', 'soup', 'vegetarian', 'non', 'likely']",clam chowder
485,"Though she had a disability, what did her encouraging and positive coach see in her?","['disability', 'encouraging', 'coach', 'positive', 'did']",potential
486,"They had a theory of what they could do in t he big game, so over and over they would what?","['theory', 'game', 'big']",practice
487,"When you see something rise, you are where in relation to it?","['rise', 'relation']",below
488,"They were getting ready for a really long hike, he put the food can in his what?","['food', 'hike', 'long', 'getting', 'ready']",backpack
489,Where would you keep a rug near your front door?,"['rug', 'door', 'near']",living room
490,When you slip from a ladder propped on anything what will you do?,"['ladder', 'slip', 'propped']",fall down
491,What do you do when you need to get food?,"['food', 'need']",shop
492,"Brad tried to arise from bed but he could not.  Instead, he just continued to do what?","['brad', 'bed', 'arise', 'instead', 'continued']",lie down
493,"If a heifer is really high quality, you might take her where?","['heifer', 'quality', 'high', 'really']",cattle show
494,What do people want to acquire from opening business?,"['business', 'acquire', 'people', 'want', 'opening']",wealth
495,What has someone who had finished their undergraduate done?,"['undergraduate', 'finished']",graduated
496,Where are bus stops more common in what parts?,"['bus', 'stops', 'common', 'parts']",urban area
497,"Bill wanted to pick up a stranger, preferably a responsible one with kids.  Where might he look for one?","['stranger', 'responsible', 'kids', 'pick', 'wanted']",park
498,Where might a lemur frolic in the market?,"['lemur', 'market', 'frolic']",india
499,What might I place under the furniture?,"['furniture', 'place']",
500,Everybody began performing once their director stated what?,"['performing', 'director', 'began', 'everybody', 'stated']",action
501,"By learning about the world, many poor college students gain what?","['students', 'college', 'learning', 'poor', 'gain']",desire to travel
502,Where are required to carry books all day?,"['books', 'carry', 'required', 'day']",
503,where is seaweed from?,['seaweed'],ocean
504,how can i store cooked steak?,"['steak', 'store', 'cooked']",freezer
505,John wanted to clean all of the dust out of his place before settling down to watch his favorite shows.  What might he hardest do dust?,"['dust', 'clean', 'john', 'settling', 'shows']",attic
506,"Something had the nerve to break into the garbage last night, what did it?","['garbage', 'break', 'nerve', 'night', 'did']",animal
507,Where would you go to get some pamphlets if you want to own them?,"['pamphlets', 'want']",bookstore
508,"The audience cheered when a goal was scored, what were they spectating?","['audience', 'goal', 'cheered', 'scored', 'spectating']",sporting event
509,What western state has thousands of miles of shore?,"['shore', 'state', 'western', 'miles', 'thousands']",california
510,"Everybody seemed to be crying at the holy site, the tour guide explained that this was what?","['crying', 'tour', 'holy', 'guide', 'explained']",common
511,The smile gave away that the what was one of happiness?,"['smile', 'happiness', 'gave', 'away']",cry
512,Where is a public monument likely to be erected by a city?,"['monument', 'city', 'erected', 'public', 'likely']",municipal park
513,Where would a person live if they wanted no neighbors?,"['neighbors', 'live', 'person', 'wanted']",woods
514,Where is the control room that controls a PWR located?,"['pwr', 'controls', 'located', 'control', 'room']",nuclear power plant
515,What happens to a dog before someone puts up posters of them?,"['dog', 'posters', 'happens', 'puts']",get lost
516,Where are the most famous BBQ steakhouses in america?,"['steakhouses', 'bbq', 'famous', 'america']",texas
517,"He kept plugging away in his cubicle, it seemed he was the only person not called into the what?","['cubicle', 'plugging', 'called', 'away', 'kept']",conference
518,If you're attending school and are falling asleep you're likely experiencing what?,"['school', 'asleep', 'attending', 'experiencing', 'falling']",boredom
519,"I want to buy a gong, where should I look for one?","['gong', 'want', 'buy', 'look']",music store
520,What would friends do if they need each others' help?,"['friends', 'help', 'need']",group together
521,"When people are playing a game, what is their motivation to play?","['motivation', 'playing', 'play', 'game', 'people']",desire to win
522,Where could there be a battle that involves words?,"['battle', 'words', 'involves']",court room
523,"John didn't mind getting in line.  It was what game after that he hated.  The time, the sore feet. He did not like doing what?","['john', 'line', 'game', 'feet', 'sore']",standing in line
524,What is the process of going somewhere?,"['process', 'going']",transporting
525,"The old man needed to have rest multiple times a day, he would do what on the couch and catnap?","['rest', 'catnap', 'couch', 'old', 'day']",lie down
526,The end of the barrel of what primitive firearm is bell shaped?,"['barrel', 'firearm', 'bell', 'shaped', 'primitive']",blunderbuss
527,Where is a good place to store pamphlets in your home or office?,"['pamphlets', 'store', 'office', 'place', 'home']",drawer
528,"Many humans enjoy fishing and enjoy another relaxing activity at the same time, what activity is it?","['fishing', 'relaxing', 'activity', 'humans', 'time']",drink beer
529,Where would you get some maps that you own?,['maps'],cabinet
530,Where is a good place to put a hamburger?,"['hamburger', 'place', 'good']",mouth
531,Where is a handy place to store a steel pen in your office?,"['pen', 'office', 'handy', 'steel', 'store']",desk drawer
532,A story about World War II would be set when?,"['war', 'story', 'ii', 'world', 'set']",past
533,What type of geographic area will you find a marmot?,"['marmot', 'geographic', 'area', 'type']",mountainous area
534,Most people make stupid assumptions that are based on their prejudices.  What might they do instead to achieve better outcomes?,"['prejudices', 'assumptions', 'people', 'achieve', 'outcomes']",think
535,What is something children can do while traveling in a car?,"['car', 'traveling', 'children']",listen to music
536,Where would you hear a trumpet along with other instruments made from the same material?,"['trumpet', 'instruments', 'material', 'hear']",brass band
537,"The audience listened to the orchestra play, where were they watching the performance?","['orchestra', 'audience', 'listened', 'watching', 'play']",concert hall
538,Stabbing to death of a person is what sort of way to die?,"['stabbing', 'death', 'die', 'person', 'way']",gruesome
539,What are you getting from you boss at the end of the week?,"['boss', 'week', 'getting', 'end']",money
540,"If you have a ticket and you are planning to eat hot dogs, where would you go?","['ticket', 'dogs', 'eat', 'planning', 'hot']",
541,Where is a great place to buy fresh fruit?,"['fruit', 'fresh', 'place', 'buy', 'great']",market
542,"The man took paperwork to other people to consult over it, where was he heading?","['paperwork', 'consult', 'heading', 'people', 'man']",meeting
543,"Stark was just having fun, and he wasn't hurting anyone.  What might have he been doing?","['stark', 'fun', 'hurting', 'just', 'having']",playing marbles
544,"The church was giving assistance, what were they hoping to accomplish?","['church', 'assistance', 'giving', 'accomplish', 'hoping']",helping others
545,"I you believe in god, where will you go when you die?","['god', 'die', 'believe']",heaven
546,What can eating hamburger cause immediately after eating it?,"['hamburger', 'eating', 'cause', 'immediately']",indigestion
547,Where is a shelf likely to be hidden behind a door?,"['shelf', 'door', 'hidden', 'likely']",cupboard
548,"The man got a pail to catch the draining motor oil, where was he likely doing this at home?","['pail', 'draining', 'oil', 'motor', 'home']",garage
549,What kind of cold storage could you find in your house?,"['storage', 'cold', 'house', 'kind']",refrigerator
550,Where could you go to between 1000 and 10000 restaurant?,"['restaurant', '1000', '10000']",big city
551,"The pitcher stepped on the mound ready to throw, where was he located specifically?","['mound', 'pitcher', 'located', 'stepped', 'throw']",baseball diamond
552,Where is a statute found on a platform?,"['statute', 'platform']",museum
553,If it's not used for hair a round brush is an example of what?,"['brush', 'hair', 'round', 'example', 'used']",art supplies
554,"His parents thought he was suffering from boredom, but the teen loved to lay in bed and just do what?","['boredom', 'teen', 'bed', 'parents', 'lay']",listen to music
555,"At the picnic she was stuck eating hamburger, she was worried because she forgot her chewables to prevent what?","['chewables', 'hamburger', 'eating', 'picnic', 'forgot']",heartburn
556,"The electrode wouldn't spark, it turned out that the what hadn't been connected?","['electrode', 'spark', 'connected', 'hadn', 'turned']",battery
557,For what entity should the government work?,"['government', 'work', 'entity']",country
558,What must a student in engineering do?,"['engineering', 'student']",do mathematics
559,"The teacher knew her students understood division, what was she hoping they would learn next?","['division', 'teacher', 'students', 'learn', 'understood']",multiplication
560,"There were times where kids wanted to know a definition, so there was a nice big dictionary in the what?","['dictionary', 'definition', 'kids', 'know', 'times']",classroom
561,Riding a bike for a long time can cause what?,"['bike', 'riding', 'long', 'cause', 'time']",fatigue
562,What could happen to a cat other than wanting food?,"['cat', 'food', 'wanting', 'happen']",thirsty
563,If you turn off the music in a room with no other noise that room would be what?,"['room', 'noise', 'music', 'turn']",silent
564,In what country are the most fast food restaurants?,"['restaurants', 'country', 'food', 'fast']",america
565,"I want to use string to keep something from moving, how should I do it?","['string', 'moving', 'use', 'want']",tie around
566,Where would walk through a central passage to catch an elevator?,"['elevator', 'central', 'passage', 'walk', 'catch']",public building
567,"A potato is kept in the cellar, where is likely to be stored?","['potato', 'cellar', 'stored', 'kept', 'likely']",
568,What do people do when networking?,"['networking', 'people']",build trust
569,Where can you store you spare linens near your socks?,"['linens', 'socks', 'store', 'spare', 'near']",dresser drawers
570,What do people do when they think too quickly?,"['think', 'quickly', 'people']",jump to conclusions
571,What is someone likely to want as a result of sex?,"['sex', 'want', 'result', 'likely']",procreation
572,What might someone do after they finish creating art?,"['art', 'creating', 'finish']",relax
573,To get clean clothes you to what to them?,"['clothes', 'clean']",launder
574,"The person tried to reduce his weight with a shrink ray, but he got it backwards and only did what?","['shrink', 'backwards', 'reduce', 'weight', 'ray']",make larger
575,"Christine couldn't be having a baby at her age, she thought to herself. What was Christine?","['christine', 'age', 'couldn', 'baby', 'having']",old person
576,Joe plays a percussion instrument in something.  What might be play in?,"['percussion', 'instrument', 'joe', 'play', 'plays']",orchestra
577,"If I'm playing ball, I'm mostly trying to do what?","['ball', 'playing', 'trying']",having fun
578,What do the terms need to be in order to compete against someone?,"['compete', 'terms', 'order', 'need']",fair
